end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationEmployeeStockPurchaseProgramRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsValuationAllowance,DueFromOtherRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCredits,EmployeeBenefitsAndShareBasedCompensation,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,FairValueAdjustmentOfWarrants,GeneralAndAdministrativeExpense,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherAssetsCurrent,OtherLiabilitiesCurrent,OtherNonoperatingIncome,PaymentsOfStockIssuanceCosts,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromWarrantExercises,RepaymentsOfNotesPayable,ResearchAndDevelopmentAssetAcquiredOtherThanThroughBusinessCombinationWrittenOff,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationGross,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,StockIssuedDuringPeriodSharesShareBasedCompensationGross
2019-03-31,2019-05-10,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,7407000.0,4448000.0,108361000.0,,,,,,7902780.0,15288000.0,15288000.0,14147000.0,-7848000.0,14147000.0,-7848000.0,0.0001,60000000.0,28881756.0,28881756.0,0.0,0.0,3000.0,,,,,,,,,,,,,803000.0,,-0.18,,,,,,,,,798000.0,111000.0,4800000.0,,1703000.0,,-4883000.0,-1455000.0,-308000.0,,,,42000.0,9000.0,8210000.0,15288000.0,8210000.0,,355000.0,,,,-8203000.0,,-5890000.0,42000.0,6284000.0,-5932000.0,360000.0,77000.0,2488000.0,,0.0,1064000.0,,0.0,,0.0,,,4581000.0,-101287000.0,352000.0,798000.0,,,,,,,,,,,,7078000.0,1748000.0,,,,798000.0,,32243796.0,,
2019-06-30,2019-08-08,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,7093000.0,3872000.0,113284000.0,,,,,,,15223000.0,15223000.0,13205000.0,,13205000.0,,0.0001,60000000.0,29960034.0,29960034.0,0.0,0.0,3000.0,,,,,,,,,,,,,921000.0,,-0.15,,,,,,,,,813000.0,200000.0,,,1758000.0,,,,,,,,35000.0,,8014000.0,15223000.0,8014000.0,,,,,,,,-4792000.0,35000.0,5878000.0,-4827000.0,286000.0,1051000.0,2735000.0,,,967000.0,,,,,,,4120000.0,-106079000.0,1051000.0,,,,,,,,,,,,,7209000.0,,,,,813000.0,,32704590.0,,
2019-09-30,2019-11-12,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,6907000.0,3728000.0,117550000.0,,,,,,,14080000.0,14080000.0,13060000.0,,13060000.0,,0.0001,60000000.0,31166033.0,31166033.0,0.0,0.0,3000.0,,,,,,,,,,,,,904000.0,,-0.15,,,,,,,,,833000.0,293000.0,,,1620000.0,,,,,,,,28000.0,,7811000.0,14080000.0,7811000.0,,,,,,,,-5206000.0,28000.0,5514000.0,-5234000.0,285000.0,280000.0,2601000.0,,,740000.0,,,,,,,3894000.0,-111285000.0,280000.0,,,,,,,,,,,,,6269000.0,,,,,833000.0,,34561844.0,,
2019-12-31,2020-03-11,10-K,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,7257000.0,3079000.0,136442000.0,,,,,,7671286.0,26966000.0,26966000.0,26077000.0,,26077000.0,4082000.0,0.0001,95000000.0,47004764.0,47004764.0,1459305.0,2510000.0,5000.0,,,,,31733000.0,0.0,23051000.0,1532000.0,2057000.0,184000.0,31733000.0,,862000.0,,-0.7,0.0,0.21,-0.27,,-0.01,-0.01,0.06,0.0,3121000.0,414000.0,2800000.0,,7233000.0,,-5043000.0,-1506000.0,-509000.0,,,,136000.0,738000.0,8119000.0,26966000.0,8119000.0,,25455000.0,,,,-21373000.0,,-24714000.0,136000.0,26558000.0,-24850000.0,268000.0,26000.0,3496000.0,0.0,,863000.0,,,,0.0,,,19325000.0,-120111000.0,1708000.0,3121000.0,0.0,,1.0379,0.9984,,0.0272,0.0177,,,,,18847000.0,1748000.0,,8000000.0,,3121000.0,0.0,35303955.0,,
2020-03-31,2020-05-07,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,5839000.0,2314000.0,137094000.0,,,,,,8304230.0,23206000.0,23206000.0,21481000.0,,21481000.0,-4596000.0,0.0001,60000000.0,48038506.0,48038506.0,1459305.0,2510000.0,5000.0,,,0.0,,,,,,,,,,1149000.0,,-0.06,,,,,,,,,639000.0,122000.0,,,1678000.0,,-1062000.0,946000.0,-110000.0,,,,60000.0,0.0,6988000.0,23206000.0,6988000.0,,-56000.0,,,,-4540000.0,,-3281000.0,60000.0,4313000.0,-3341000.0,315000.0,972000.0,3088000.0,,,753000.0,,,,13000.0,,,2635000.0,-123392000.0,972000.0,639000.0,,1.0127,,,0.0102,,,,,,,16218000.0,0.0,,,,639000.0,,50875476.0,,
2020-06-30,2020-08-06,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,6674000.0,2321000.0,143005000.0,,,,,,,22685000.0,22685000.0,21924000.0,,21924000.0,,0.0001,95000000.0,50980004.0,50980004.0,0.0,,5000.0,,,,,,,,,,,,,1037000.0,,-0.09,,,,,,,,,731000.0,223000.0,,,1687000.0,,,,,,,,29000.0,,7711000.0,22685000.0,7711000.0,,,,,,,,-4645000.0,29000.0,4716000.0,-4674000.0,373000.0,42000.0,3757000.0,,,719000.0,,,,,,,3029000.0,-128037000.0,42000.0,,,,,,,,,,,,,14974000.0,,,,,731000.0,,51802451.0,,
2020-09-30,2020-11-06,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,5665000.0,2467000.0,169185000.0,,,,,,,42645000.0,42645000.0,42029000.0,,42029000.0,,0.0001,95000000.0,60883303.0,60883303.0,0.0,,6000.0,,,,,,,,,,,,,755000.0,-0.09,-0.09,,,,,,,,,725000.0,326000.0,,,2429000.0,,,,,,,,14000.0,,6420000.0,42645000.0,6420000.0,,,,,,,,-4930000.0,14000.0,4972000.0,-4944000.0,583000.0,28000.0,2289000.0,,,588000.0,,,,,,,2543000.0,-132967000.0,28000.0,,,,,,,,,,,,,36225000.0,,,,,725000.0,,56405734.0,56405734.0,
2020-12-31,2021-03-12,10-K,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,6367000.0,3438000.0,173947000.0,,,,,,4147411.0,42596000.0,42596000.0,40772000.0,,40772000.0,14695000.0,0.0001,95000000.0,62420439.0,62420439.0,1742449.0,4617000.0,6000.0,,,,,37275000.0,0.0,27537000.0,1781000.0,2191000.0,178000.0,37275000.0,,850000.0,,-0.41,0.0,0.21,-0.24,,-0.01,-0.01,0.05,0.0,2780000.0,535000.0,2800000.0,,7918000.0,,-833000.0,-6000.0,941000.0,,,,120000.0,901000.0,7217000.0,42596000.0,7217000.0,,31246000.0,,,,-16551000.0,,-23081000.0,120000.0,24270000.0,-23201000.0,385000.0,20000.0,2009000.0,,,1804000.0,,,,13000.0,,,16352000.0,-143192000.0,1069000.0,2780000.0,0.0,,1.046,1.0127,,0.0102,0.0065,,,,,35379000.0,2510000.0,,,,2780000.0,0.0,55830582.0,,0.0
2021-03-31,2021-05-07,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,6076000.0,3528000.0,203864000.0,,,,,,4503838.0,61430000.0,61430000.0,60033000.0,,60033000.0,19261000.0,0.0001,95000000.0,72163822.0,72163822.0,0.0,,7000.0,,,25000.0,,,,,,,,,,1179000.0,,-0.09,,,,,,,,,774000.0,155000.0,,,2373000.0,,13000.0,48000.0,-475000.0,,,,13000.0,634000.0,7255000.0,61430000.0,7255000.0,,23918000.0,,,,-4657000.0,,-6505000.0,13000.0,6586000.0,-6518000.0,374000.0,68000.0,2019000.0,,,1329000.0,,,,0.0,,,4213000.0,-149697000.0,68000.0,774000.0,,1.0271,,,0.0104,,,,,,,54175000.0,4617000.0,,,,774000.0,,70303387.0,,
2021-06-30,2021-08-06,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,8346000.0,5081000.0,215706000.0,,,,,,,66123000.0,66123000.0,65124000.0,,65124000.0,,0.0001,135000000.0,75741873.0,75741873.0,0.0,,8000.0,,,,,,,,,,,,,903000.0,,-0.12,,,,,,,,,766000.0,289000.0,,,2114000.0,,,,,,,,13000.0,,9249000.0,66123000.0,9249000.0,,,,,,,,-9144000.0,13000.0,9312000.0,-9157000.0,201000.0,155000.0,2775000.0,,,844000.0,,,,,,,7198000.0,-158841000.0,155000.0,,,,,,,,,,,,,56874000.0,,,,,766000.0,,75492853.0,,
2021-09-30,2021-11-04,10-Q,"Checkpoint Therapeutics, Inc.",CKPT,CIK0001651407,USD,12064000.0,7812000.0,218066000.0,,,,,,,60969000.0,60969000.0,60203000.0,,60203000.0,,0.0001,135000000.0,76214398.0,76214398.0,0.0,,,,,,,,,,,,,,,936000.0,-0.14,,,,,,,,,,779000.0,452000.0,,,1923000.0,,,,,,,,13000.0,,13000000.0,60969000.0,13000000.0,,,,,,,,-11265000.0,13000.0,11307000.0,-11278000.0,282000.0,29000.0,3518000.0,,,737000.0,,,,,,,9384000.0,-170106000.0,29000.0,,,,,,,,,,,,,47969000.0,,,,,779000.0,,,78530952.0,
