end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccruedInvestmentIncomeReceivable,AccruedLiabilitiesCurrent,AccruedPayrollTaxesCurrent,AdditionalPaidInCapital,AdjustmentOfWarrantsGrantedForServices,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessCombinationAcquisitionRelatedCosts,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentRate,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentCarryingAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateIncreaseDecrease,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GainLossOnSaleOfOtherAssets,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,Goodwill,GoodwillImpairmentLoss,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationOtherReconcilingItems,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherEmployeeRelatedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndOtherIncome,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestIncomeOther,InterestPayableCurrent,InventoryNet,InventoryWriteDown,IssuanceOfStockAndWarrantsForServicesOrClaims,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,NoncurrentAssets,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesReceivableRelatedParties,NotesReceivableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherAssetsNoncurrent,OtherGeneralAndAdministrativeExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncome,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromSalesOfAssetsInvestingActivities,ProceedsFromWarrantExercises,ProfitLoss,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfConvertibleDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,SellingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,UnrealizedGainLossOnDerivatives,WarrantsAndRightsOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-12-31,2018-06-08,10-K,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,79295.0,,67364.0,4000.0,16000.0,1590.0,,,6502024.0,15379.0,,,,1122743.0,147709.0,,81653.0,5217.0,,57551.0,0.001,500000000.0,898422.0,898422.0,898.0,,,316781.0,,,4761.0,,,,,,,,513000.0,513000.0,,,3094.0,1822568.0,,,,59810.0,-15.82,,1121.0,1650.0,,,,169588.0,538700.0,841982.0,,2844.0,,,-16.18,81613.0,0.36,,304000.0,942000.0,-1246000.0,,42822.0,-15799.0,50000.0,-1590.0,646.0,,,-6111.0,6943.0,862.0,,7433.0,,,,1146.0,-2635181.0,,24059.0,48466.0,,15379.0,,2301870.0,1122743.0,10000.0,2301870.0,,771750.0,-41972.0,-672227.0,-3562075.0,1189.0,279111.0,,,,,,79295.0,951924.0,-3643688.0,2447000.0,975034.0,,413224.0,,2694608.0,3000.0,,0.001,75000000.0,1333334.0,1333334.0,1333.0,,973000.0,,15379.0,,-15000.0,,,-3643688.0,33000.0,186250.0,-7683382.0,7605.0,128105.0,,,,,,,,,,,,-1179127.0,,,806915.0,2853327.0,2853327.0,,,-111307.0,,225210.0
2018-03-31,2018-07-12,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,33721.0,34923.0,2164.0,2372.0,,,6909880.0,,,,,1104639.0,212169.0,,88052.0,,,6399.0,0.001,2500000000.0,469012760.0,469012760.0,469013.0,688097.0,,316613.0,,,14699.0,,,,,,,371484.0,,,1500.0,,4769.0,978314.0,,,,59884.0,0.0,,1351.0,1419.0,,,,-526481.0,232064.0,841982.0,,5157.0,,,,,,,,,,,-33643.0,30923.0,13836.0,-782.0,370.0,-1500.0,,,16523.0,8180.0,,,,,,370.0,-408467.0,,33568.0,40286.0,,,,1472181.0,1104639.0,,1472181.0,,194583.0,,-188184.0,-64386.0,,259507.0,,,,,,79295.0,232064.0,,,892470.0,,118391.0,,162521.0,,,0.001,75000000.0,1333334.0,1333334.0,1333.0,,194583.0,,,,,,,-64386.0,,,-7747768.0,19856.0,,,,,,,,,,,,,-367542.0,,,,,875971.0,,,1097469.0,,364956165.0
2018-06-30,2018-09-11,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,45251.0,33421.0,,3163.0,,7188.0,7377017.0,,,,,986715.0,140395.0,,24019.0,,,,0.001,2500000000.0,1876051.0,1876051.0,1876.0,688097.0,,492910.0,,,10888.0,,,,30000.0,,,195187.0,,,1500.0,,,1040786.0,,,,59958.0,-0.21,,1351.0,1188.0,,,6951.0,,160814.0,841982.0,,20172.0,,,,,,,,,,,,,,,,,,,,,,,,,,374.0,-203556.0,,51430.0,28918.0,,,,1753976.0,986715.0,,1753976.0,,,,,-399719.0,,141583.0,,,,,,79295.0,160814.0,,,846320.0,,66105.0,,-259077.0,,,0.001,75000000.0,1333334.0,1333334.0,1333.0,5000.0,,,,,,,,-399719.0,,,-8147487.0,31060.0,,,,,,,,,,,,,-767261.0,,,,,,,,-62472.0,,1876051.0
2018-09-30,2019-04-25,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,45036.0,15000.0,,3963.0,,,7424144.0,,,,,968547.0,122458.0,,4995.0,,,,0.001,2500000000.0,3028030.0,3028030.0,3028.0,689425.0,,607309.0,,,-839.0,,,,30000.0,,,82116.0,,,1500.0,,,1616117.0,,,,,-0.4,,1582.0,957.0,,,,,112053.0,841982.0,,16042.0,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,-538591.0,,68106.0,34205.0,,,,2444569.0,968547.0,,2444569.0,,,,,-757040.0,,18168.0,,,63000.0,,,79295.0,112053.0,,,846089.0,,50000.0,,-661029.0,,,0.001,75000000.0,1333334.0,1333334.0,1333.0,,,,,,,,,-757040.0,,,-8904527.0,15203.0,,,,,,,,,,,,,-1476022.0,,,,,,,,-122438.0,,1876051.0
2018-12-31,2020-04-01,10-K,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,79295.0,,57340.0,15000.0,,4762.0,,,7440895.0,,,,843632.0,85768.0,5747.0,,485.0,,,-81168.0,0.001,2500000000.0,3028030.0,3028030.0,6455.0,670413.0,,654453.0,,,28590.0,,,,30000.0,,,15960.0,,,,,8332.0,2713319.0,,6258.0,0.0,,-1.21,,1582.0,726.0,,,6951.0,526481.0,306944.0,,843632.0,38541.0,,-3323259.0,-1.21,-6258.0,0.0,,,,,,-10024.0,29420.0,16000.0,-3172.0,591.0,,,,67792.0,47966.0,,,,,,1500.0,-1266470.0,,83899.0,500.0,,,,3649984.0,85768.0,,3649984.0,,197583.0,50000.0,-328751.0,-3329517.0,,,,63000.0,63000.0,,79295.0,79295.0,546025.0,-3323259.0,,80021.0,,239081.0,,-2815775.0,,,0.001,75000000.0,1333334.0,1333334.0,1333.0,,194583.0,,,,,50000.0,,-3323259.0,,,-11012899.0,67131.0,,,,,,,,,,,,,-3564216.0,,,,926008.0,926008.0,,,-184643.0,,2747890.0
2019-03-31,2020-05-28,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,46100.0,,27157.0,,,,9542603.0,,,,,2925991.0,2710635.0,1907010.0,339650.0,,,339165.0,0.001,2500000000.0,121060085.0,121060085.0,121610.0,166750.0,,166750.0,,,31763.0,,,,166543.0,,,,,,,,1614.0,772004.0,,,,1050700.0,0.02,,1614.0,22096.0,,,,53038.0,262516.0,193260.0,,65509.0,,,,,,,,,,,-11240.0,-15000.0,-27157.0,4762.0,769.0,,1749436.0,,393558.0,-2343328.0,,,,,,,-12864.0,,477457.0,2343828.0,,7000.0,,2682073.0,2925991.0,,2682073.0,,552278.0,1963321.0,-2176435.0,1592604.0,-22985.0,,,,,,,,262516.0,,,215356.0,,,,1789611.0,,22985.0,0.001,75000000.0,,,,,-71092.0,,,,-15000.0,,,1592604.0,79295.0,349330.0,-9420295.0,97273.0,,,108260.0,,,,,,,,,,243918.0,,,1948194.0,107718.0,,7000.0,,1749436.0,,76552964.0
2019-06-30,2020-05-29,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,59165.0,,23088.0,,,,9542603.0,,,,,3079493.0,2866427.0,,2246660.0,,,,0.001,2500000000.0,121060085.0,121060085.0,121610.0,166750.0,,166750.0,,,46241.0,,,,371876.0,,,,,,,,2290.0,885411.0,,,,1050866.0,0.0,,3948.0,19807.0,,,,,300109.0,193260.0,,154799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-19675.0,,39470.0,2648661.0,,,,3113967.0,3079493.0,,3113967.0,,,,,-278392.0,,,,,79667.0,,,,300109.0,,,213067.0,,,,-133082.0,,,0.001,75000000.0,,,,,,,,,,,,-278392.0,,,-9698687.0,201040.0,,,,,,,,,,,,,-34474.0,,,,,,,,-113407.0,,98883192.0
2019-09-30,2020-06-01,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,44176.0,,51313.0,,27857.0,,9542603.0,,,,,3336326.0,3125571.0,,105769.0,,,,0.001,2500000000.0,121060085.0,121060085.0,121610.0,166750.0,,166750.0,,,15861.0,,,,641876.0,,,,,,,,2312.0,1496246.0,,,,1050866.0,-0.01,,6282.0,17495.0,,,,,265755.0,193260.0,,257442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-24412.0,,44563.0,2968489.0,,,,4014360.0,3336326.0,,4014360.0,,,,,-643560.0,,,,,79667.0,,,,265755.0,,,210755.0,,,,-635247.0,,,0.001,75000000.0,,,,,,,,,,,,-643560.0,,,-10342247.0,273302.0,,,,,,,,,,,,,-678034.0,,,,,,,,-610835.0,,106325702.0
2019-12-31,2020-08-10,10-K,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,21125.0,,26473.0,,53341.0,,9392903.0,,,,,3449526.0,3241083.0,1757310.0,133451.0,,,132966.0,0.001,2500000000.0,121610085.0,121610085.0,121610.0,166750.0,,166750.0,105208.0,,955124.0,,,,,,,,,,,,8527.0,1060388.0,,,,1050866.0,0.01,,36895.0,15183.0,,,,53038.0,1499110.0,193260.0,,-29985.0,,632776.0,,,,,,,,,-36215.0,-15000.0,-26473.0,4762.0,489471.0,,-1652931.0,53341.0,-33997.0,-1325724.0,,,,,,70738.0,-118013.0,,49902.0,3081158.0,849916.0,7000.0,,4315136.0,3449526.0,,4315136.0,,1807444.0,56310.0,-1730788.0,594900.0,,,193260.0,1130533.0,79667.0,,,,1499110.0,,,208443.0,,,,2123996.0,,22985.0,0.001,75000000.0,,,,,1104241.0,,,,-15000.0,,,632776.0,79295.0,349330.0,-10380123.0,925139.0,,,110636.0,,,,,,,,,,-865610.0,,,1948194.0,107718.0,,7000.0,,2188971.0,,221224752.0
2020-03-31,2020-08-14,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,25888.0,,305575.0,,59490.0,,9392903.0,,,1579883.0,,3612860.0,3406729.0,,67663.0,,,-65788.0,0.001,2500000000.0,121610085.0,121610085.0,121610.0,166750.0,,166750.0,,,20589.0,,,,,,,,,,,,2312.0,445252.0,,,,1051166.0,-0.02,,39207.0,12872.0,,,,,444318.0,193260.0,,131130.0,,,,,,,,,,,4763.0,,-279102.0,,38068.0,,-615136.0,6149.0,-4927.0,47667.0,,,,,,,19631.0,,55183.0,3033491.0,748972.0,,,3853659.0,3612860.0,,3853659.0,,109607.0,,-175395.0,-3385173.0,,,,1130833.0,79667.0,,,,2024201.0,,,206132.0,,,,1492102.0,,,0.001,75000000.0,,,,,106750.0,,,,,,,-3385173.0,,,-9755312.0,151719.0,,,,,,,,,,,,,-240799.0,,,,,,,,1472471.0,,182890767.0
2020-06-30,2020-09-15,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,44270.0,,15862.0,,54122.0,,13304881.0,,,1579883.0,,4282525.0,3741814.0,,664156.0,,,,0.001,2500000000.0,264059759.0,264059759.0,264060.0,166750.0,,166750.0,,,20589.0,,,,,,,,,,,,2312.0,1917723.0,,,,1050866.0,-0.02,,39207.0,10560.0,,,,,444318.0,193260.0,,131130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-19631.0,,60455.0,3061796.0,,,,3854070.0,4282525.0,,3854070.0,,,,,-3385173.0,,,193260.0,,79667.0,,,,444318.0,,,540711.0,,,,-3071985.0,,,0.001,75000000.0,,,,,,,,,,,,-3385173.0,,,-13140485.0,151719.0,,,,,,,,,,,,,428456.0,,,,,,,,-1472471.0,,182890767.0
2020-09-30,2020-10-29,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,51220.0,,311556.0,,52900.0,,15349536.0,,,,,4452582.0,3876597.0,,379488.0,,,,0.001,2500000000.0,305787410.0,305787410.0,305787.0,6750.0,,6750.0,,,226532.0,,,,,,,,,,,,2312.0,10279.0,,,,866.0,0.01,,42993.0,8348.0,,,,46836.0,437240.0,193260.0,,306567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-10120.0,,2241.0,3185553.0,,,,124256.0,4452582.0,,124256.0,,,,,1813487.0,,,193260.0,,,,,,437240.0,,,575984.0,,,,1944160.0,,,0.001,75000000.0,,,,,,,,,,,,1813487.0,,,-11326998.0,536647.0,,3548.0,,,,,,,,,,,4328325.0,,,,,,,,1907444.0,,214029532.0
2020-12-31,2021-02-19,10-K,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,64836.0,,13274.0,,9054.0,,15501436.0,,,1579883.0,1579883.0,3115430.0,2490158.0,,59201.0,,,-74250.0,0.001,2500000000.0,308887410.0,308887410.0,308887.0,6750.0,,6750.0,494469.0,,4678647.0,1504408.0,,,,,,,,,,,11261.0,7202.0,,,,170866.0,-0.02,,36895.0,6135.0,,,,46836.0,1860592.0,193260.0,1579883.0,-1854363.0,,,,,,,,,,,43711.0,,13199.0,,-490703.0,,-1053186.0,-44287.0,-47524.0,663476.0,,,,,,,-73537.0,,2379.0,2417683.0,2772355.0,,,261604.0,3115430.0,,261604.0,,1944248.0,-115740.0,1902758.0,-4205875.0,,,193260.0,,,,,,3440475.0,,,625272.0,,,,1088963.0,,,0.001,75000000.0,0.0,0.0,,,-1501876.0,4405791.0,,,,,,-4205875.0,,,-12956498.0,1548363.0,,,,,,,,,,,,,2853826.0,,,1890020.0,3955791.0,,,295000.0,1056263.0,,474600182.0
2021-03-31,2021-05-14,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,49430.0,,24649.0,,59352.0,,15999901.0,,,,,3399109.0,2737225.0,,232932.0,,,173731.0,0.001,2500000000.0,317302410.0,317302410.0,317302.0,346750.0,,346750.0,,,41442.0,,,,,,,,,,,,1275.0,697982.0,,,,170866.0,0.0,,45944.0,4860.0,,,,,716087.0,193260.0,,128991.0,,,,,,,,,,,-15406.0,,-11375.0,,3400.0,,690780.0,50298.0,1363.0,-61961.0,,,,,,,-15759.0,,3742.0,2479644.0,1808904.0,,,1332039.0,3399109.0,,1332039.0,,846880.0,-37888.0,-635261.0,-1293636.0,,,657025.0,,,,,,716087.0,,,661884.0,,,,-706540.0,,,0.001,75000000.0,,,,,340000.0,506880.0,,,,,,-1293636.0,,,-14250134.0,170433.0,,,,,,,,,,,,,2067070.0,,,,86400.0,,195480.0,225000.0,-690780.0,,313442910.0
2021-06-30,2021-08-16,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,14722.0,,40315.0,,89718.0,,16058901.0,,,,,3605063.0,2908954.0,,286939.0,,,,0.001,2500000000.0,318302410.0,318302410.0,318302.0,346750.0,,751750.0,,,33764.0,,,,,,,,,,,,,987427.0,,,,170866.0,0.0,,45944.0,3585.0,,,,,464831.0,193260.0,,210122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-13597.0,,13981.0,2581701.0,,,,,3605063.0,,2035744.0,,,,,-557751.0,,,692524.0,,,,,,464831.0,,,696109.0,,,,-303041.0,,,0.001,75000000.0,0.0,0.0,,,,,,,,,,-557751.0,,,-14807885.0,243886.0,,,,,,,,,,,,,1569319.0,,,,,,,,-289445.0,,315764537.0
2021-09-30,2021-11-15,10-Q,Healthy Extracts Inc.,HYEX,CIK0001630176,USD,,,23158.0,,83585.0,,53967.0,,16150679.0,,,,,3438227.0,2731893.0,,115138.0,,,,0.001,2500000000.0,319480188.0,319480188.0,319480.0,864750.0,,864750.0,,,72250.0,,,,,,,,,,,,1275.0,1295173.0,,,,170866.0,0.0,,45944.0,2310.0,,,,,692940.0,193260.0,,307625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-19242.0,,29829.0,2533170.0,,,,,3438227.0,,2448423.0,,,,,-672470.0,,,706334.0,,,,,,692940.0,,,706334.0,,,,-287155.0,,,0.001,75000000.0,0.0,0.0,,,,,,,,,,-672470.0,,,-15480355.0,447986.0,,68111.0,,,,,,,,,,,989804.0,,,,,,,,-307746.0,,316650804.0
