end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccruedRentCurrent,AdditionalPaidInCapital,AdvertisingExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetManagementFees,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleDebtFairValueDisclosures,CostOfServicesLicensesAndServices,CurrentFederalTaxExpenseBenefit,DebtConversionOriginalDebtAmount1,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseOther,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCash,EmbeddedDerivativeFairValueOfEmbeddedDerivativeNet,EmbeddedDerivativeLossOnEmbeddedDerivative,ExtinguishmentOfDebtGainLossNetOfTax,FederalIncomeTaxExpenseBenefitContinuingOperations,FeesAndCommissionsTransferAgent,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LicensesRevenue,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralAndAdministrativeExpense,OtherNoncashIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfConvertibleDebt,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RestatementOfPriorYearIncomeNetOfTax,RetainedEarningsAccumulatedDeficit,RevenueFromEnrollmentAndRegistrationFeesExcludingHospitalityEnterprises,Revenues,SaleOfStockConsiderationReceivedPerTransaction,StateAndLocalIncomeTaxExpenseBenefitContinuingOperations,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,TranslationAdjustmentFunctionalToReportingCurrencyIncreaseDecreaseGrossOfTax,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-06-30,2015-08-19,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,23952.0,,113467.0,,,,,2500.0,2500.0,,3913.0,3703.0,,0.001,100000000.0,4850000.0,4850000.0,,4850.0,,,,,,,,,,,,,,,,,,,,,,,,11304.0,,0.01,,,,,,,,,,,,,,-4876.0,,94550.0,-94550.0,,,,,,52887.0,,242.0,,,,-2500.0,,,,,,35256.0,2500.0,35256.0,,,50000.0,-46297.0,,-99426.0,,94550.0,5368.0,,,5368.0,,,-4876.0,,2500.0,,,,,50000.0,,2500.0,,,,,,,,-151073.0,,,,,-32756.0,,,,,,,,,,,,,,,,,,,14824000.0,
2015-09-30,2015-11-23,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,,,,1984.0,,122271.0,,,,,4253.0,4253.0,,54684.0,,,0.001,100000000.0,4850000.0,4850000.0,,4850.0,,,,,,,,,,,,,,,,,,,,,,,,38809.0,,-0.01,,,,,,,,,,,,,,-1738.0,,150231.0,-152557.0,,,,,,,,,,,,,,,,,,40793.0,4253.0,40793.0,,,,,,-154295.0,,152557.0,12588.0,,,,,,-1738.0,,4253.0,,,,,,,,,12215.0,,,,2326.0,,-163661.0,,,,,-36540.0,,,,,,,,,,,,,,,,,,,14824000.0,
2015-12-31,2016-03-18,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,,7187.0,,,,90000.0,,,,,,100857.0,100857.0,100857.0,100857.0,,,0.001,100000000.0,26129594.0,26129594.0,450000.0,26130.0,,,,32000.0,,,,,,,,,,,,,,,,,,57108.0,,,,0.0,,,,,,,,,,,,,,107884.0,,169027.0,-173397.0,,,,,,,,,,,,,,,,,,188548.0,100857.0,188548.0,,,,,,-65513.0,34253.0,173397.0,,,,,107884.0,,107884.0,,,,,,,,,,,,,,,4370.0,,-563821.0,,,,,-87691.0,-87691.0,,,,,,,,,,,,,,,,,,14824000.0,
2016-03-31,2016-07-14,10-K,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,225498.0,,,,,173414.0,99324.0,,,,,52110.0,52110.0,52110.0,52110.0,51901.0,,0.001,250000000.0,26805270.0,26805270.0,500000.0,26805.0,,,,32000.0,,,,,,,,,,,,,,305000.0,,60000.0,-365000.0,6420.0,,,,-0.04,,,0.34,-0.397,,-0.001,0.058,,,,,,,-18275.0,107884.0,691778.0,-840937.0,,,,,,225285.0,,2714.0,,66553.0,,,,,,,,421894.0,52110.0,421894.0,,,616561.0,-564660.0,,-751328.0,16562.0,840937.0,,,764000.0,,,,89609.0,,,,,,100000.0,600000.0,,33755.0,,,,,17194.0,149159.0,,-995913.0,,,600000.0,,-369784.0,-369784.0,,,100000.0,11750000.0,,,,675676.0,,,,100000.0,,,,,,18216544.0,
2016-06-30,2016-08-11,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,240792.0,,178000.0,,,183765.0,99324.0,,,,,195601.0,195601.0,195601.0,195601.0,143491.0,,0.001,250000000.0,26805270.0,26805270.0,885000.0,26805.0,,,,,,,,,,,,,,,,,,,,,,6420.0,,,,-0.01,,,,,,,,-1287.0,,,,,,5062.0,,154328.0,-267060.0,,,,,,15294.0,,,,10351.0,,,3869.0,,,,,446252.0,195601.0,446252.0,,,385000.0,-240222.0,,-265867.0,15275.0,267060.0,,,,,,,1193.0,,,,,,,385000.0,,,,,85000.0,,,112732.0,,-1261780.0,,,,,-250651.0,-250651.0,,,,,,,,,,,,,,,,,,26805270.0,
2016-09-30,2016-11-14,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,257137.0,,178000.0,,,189669.0,99324.0,,,,,12629.0,12629.0,12629.0,12629.0,,,0.001,250000000.0,26805270.0,26805270.0,985000.0,26805.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,-1962.0,,218521.0,-287591.0,,,,,,,,,,,,,3995.0,,,,,456828.0,12629.0,456828.0,,,,,,-293548.0,10022.0,287591.0,,,,,,,-5957.0,,,,,,,,,,,,91000.0,,,69070.0,,-1555328.0,,,,,-444199.0,-444199.0,,,,,,,,,,,,,,,,,,26805000.0,
2016-12-31,2017-02-10,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,377516.0,,256000.0,,,184440.0,99324.0,,,,,10759.0,10759.0,10759.0,10795.0,,,0.001,250000000.0,26805270.0,26805270.0,1060000.0,26805.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,136927.0,-223799.0,,,,,,,,,,,,,3508.0,,,,,607302.0,10795.0,607302.0,,,,,,-227307.0,45346.0,223799.0,,,,,,,-3508.0,,,,,,,,,,,,91000.0,,,86872.0,,-1782636.0,,,,,-596507.0,-596507.0,,,,,,,,,,,,,,,,,,26805000.0,
2017-03-31,2017-06-30,10-K,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,377893.0,,300000.0,1807.0,,140142.0,167324.0,,22756.0,,,33523.0,33523.0,32275.0,32275.0,-19835.0,,0.001,250000000.0,26805270.0,26805270.0,1060000.0,26805.0,,322256.0,550000.0,,,,450000.0,68000.0,0.1316,,,175000.0,-151744.0,-368000.0,-65000.0,798000.0,,738000.0,-433000.0,60000.0,-798000.0,,,,,-0.04,,,-0.34,0.389,0.0,0.009,-0.058,,24000.0,-3000.0,,,,,,718959.0,-1069269.0,,,433000.0,,,152395.0,,-6420.0,,-33272.0,,-1248.0,39869.0,,,,49000.0,887445.0,33523.0,887445.0,,,953285.0,-973120.0,,-1112138.0,47154.0,1069269.0,,,1900000.0,,,,-42869.0,,,1248.0,,364500.0,,560000.0,,59368.0,,,363000.0,,30583.0,350310.0,,-2108051.0,,,560000.0,,-853922.0,-853922.0,,,,,,,,,,,,,,,,,,26805270.0,
2017-06-30,2017-08-14,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,465746.0,,,1266.0,,150155.0,241544.0,,58130.0,,,5001.0,5001.0,5001.0,5001.0,-27274.0,12523878.0,0.001,250000000.0,27134419.0,27134419.0,1060000.0,27134.0,,472449.0,650000.0,,,,600000.0,35000.0,,,10062.0,239000.0,-157614.0,,,,,,,,,,,,,-0.01,,,,,,,,,20000.0,10000.0,,,,,,190733.0,-287925.0,,,,,,87955.0,10062.0,,,10012.0,,1248.0,74471.0,,10063.0,39549.0,,1136770.0,5001.0,1136770.0,,,127000.0,-154274.0,,-352396.0,48420.0,287925.0,,,,,,,-64471.0,,,,,127000.0,,,,,,,100000.0,,,97192.0,,-2460447.0,,,,,-1131769.0,-1131769.0,,,,,,,,,,,,,,,,,,27004613.0,
2017-09-30,2017-11-14,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,610456.0,,400000.0,,,157831.0,269419.0,,,,,51195.0,51195.0,51195.0,51195.0,,,0.001,250000000.0,27437475.0,27437475.0,1060000.0,27437.0,,522408.0,,,,,575000.0,,,,,239000.0,-93991.0,,,,,,,,,,209383.0,,,-0.01,,,,,,,,,27000.0,44000.0,,,,,,177435.0,-276339.0,,,,,,,,,,,,,112952.0,,14399.0,,,1500078.0,51195.0,1500078.0,,,,,,-345291.0,,276339.0,,,,,,,-68952.0,,,,,,,,,,,,100000.0,,,98904.0,,-2805739.0,,,,,-1448883.0,-1448882.0,,,,,,,,,,,,,,,,,,27284000.0,
2017-12-31,2018-02-20,10-Q,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,672281.0,,500000.0,,,163703.0,378695.0,,,,,26774.0,26774.0,26774.0,26774.0,,,0.001,250000000.0,30395804.0,30395804.0,1060000.0,30396.0,,723000.0,,,,,633000.0,,,,,,-634000.0,,,,,,,,,,267922.0,,-0.02,-0.02,-0.02,,,,,,,,710000.0,77000.0,0.0,,,,-169492.0,107549.0,-166029.0,,,,,,,,,,,,,204962.0,,14000.0,,,1826906.0,26774.0,1826906.0,,,,,,-463483.0,,166029.0,166029.0,,,,,,-297454.0,,,,,,,,,,,,82000.0,,,58480.0,,-3269223.0,,,,,-1800132.0,,,,,,,,,,,,,,,,,,28700000.0,28700000.0,28700000.0
2018-03-31,2018-07-16,10-K,CANTABIO PHARMACEUTICALS INC.,CTBO,CIK0001550518,USD,606751.0,,600000.0,,,171105.0,1134763.0,,533651.0,,,109426.0,109426.0,109426.0,109426.0,77151.0,,0.001,250000000.0,51900000.0,51900000.0,1060000.0,51857.0,307000.0,947160.0,,,,,,35000.0,,,,600000.0,,-115000.0,-142000.0,1055000.0,,1005000.0,-257000.0,50000.0,-1055000.0,,257614.0,,,-0.07,,,-0.31,0.128,0.198,0.044,-0.06,,,198000.0,,,,,-241025.0,977747.0,-1348788.0,,,257000.0,,,378372.0,40721.0,,,30963.0,,1248.0,619960.0,,,360444.0,52000.0,1982630.0,109426.0,1982630.0,,,700500.0,-623349.0,,-2011773.0,,1348788.0,,,3600000.0,,,,-662985.0,,,0.0,,405500.0,,,295000.0,,,,692000.0,,,371041.0,,-4119824.0,,,,,-1873204.0,-1873204.0,-1873204.0,,,,,,,,246487.0,,,,350560.0,360444.0,,,,30943829.0,
