end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CapitalizedContractCostAccumulatedAmortization,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConvertibleDebtNoncurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtorReorganizationItemsWriteOffOfDeferredFinancingCostsAndDebtDiscounts,DeferredTaxAssetsCapitalLossCarryforwards,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DerivativeFairValueOfDerivativeLiability,DerivativeLiabilitiesCurrent,DueFromRelatedParties,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EmployeeServiceShareBasedCompensationCashFlowEffectCashUsedToSettleAwards,ExtinguishmentOfDebtAmount,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,GainLossOnSaleOfOtherInvestments,GainsLossesOnSalesOfAssets,GeneralAndAdministrativeExpense,GoodwillAndIntangibleAssetImpairment,GoodwillImpairmentLoss,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInsurance,IndefiniteLivedIntangibleAssetsExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaid,InterestPayableCurrent,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NoncashOrPartNoncashAcquisitionPayablesAssumed1,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,PaymentsForPurchaseOfOtherAssets1,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidInsurance,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,RepaymentsOfConvertibleDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedDuringPeriodValue,TreasuryStockValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,AmortizationOfLeasedAsset,EffectiveIncomeTaxRateContinuingOperations,IncreaseDecreaseInOperatingLeaseLiability,NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,NoncashOrPartNoncashAcquisitionValueOfLiabilitiesAssumed1,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,StockIssuedDuringPeriodValueAcquisitions
2017-03-31,2017-07-14,10-K,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,300.0,,0.0,49465.0,,,,,0.0,7395.0,7395.0,,,7395.0,-1843.0,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,0.0,,,,,,,,7566.0,7566.0,0.0,7566.0,-7566.0,0.0,,,30000.0,0.0,-0.01,-0.01,-0.35,0.35,,,,,,21616.0,0.0,0.0,,0.0,,,0.0,-977.0,,,,,0.0,0.0,0.0,,,,,750.0,-750.0,0.0,0.0,0.0,0.0,0.0,,30300.0,7395.0,30300.0,0.0,20000.0,0.0,-21843.0,-21843.0,-21616.0,,0.0,,30000.0,,21616.0,21616.0,-21616.0,21616.0,,,,0.0,,,,,,,,0.0,,0.0,,,20000.0,,0.0,,,-75080.0,0.0,0.0,,-22905.0,-22905.0,0.0,,,,,,,,,,,0.0,,2710000.0,2710000.0,,,,,,,,,,,,,,,,
2017-06-30,2017-08-10,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,2123.0,,,49465.0,,,,,,1000.0,1000.0,,,1000.0,-6395.0,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,,,,,,,,,30000.0,0.0,0.0,,,,,,,,8218.0,,,,,,,0.0,1823.0,,,,,,,,,,0.0,,,,,,0.0,0.0,,,32123.0,1000.0,32123.0,,0.0,,-6395.0,-6395.0,-8218.0,,0.0,,,,8218.0,8218.0,-8218.0,,,,,,,,,,,,,,,,,,0.0,,,,,-83298.0,0.0,0.0,,-31123.0,,,,,,,,,,,,,,,2710000.0,2710000.0,,,,,,,,,,,,,,,,
2017-09-30,2017-11-07,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,300.0,,,49465.0,,,,,,1081.0,1081.0,,,1081.0,,,0.001,200000000.0,2710000.0,2710000.0,,,2710.0,,,,,,,,,,,,,,,,,,,35000.0,0.0,0.0,,,,,,,,3096.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,35300.0,1081.0,35300.0,,,,,,-3096.0,,0.0,,,,3096.0,3096.0,-3096.0,,,,,,,,,,,,,,,,,,,,,,,-86394.0,0.0,,,-34219.0,,,,,,,,,,,,,,,2710000.0,2710000.0,,,,,,,,,,,,,,,,
2017-12-31,2018-01-29,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,,,,94310.0,,,,,,5382.0,5382.0,,,5382.0,,,0.001,200000000.0,2865172.0,2865172.0,,,2865.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,5399.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,5382.0,,,,,,,-5399.0,,0.0,,,,5399.0,5399.0,-5399.0,,,,,,,,,,,,,,,,,,,,,,,-91793.0,0.0,,,5382.0,,,,,,,,,,,,,,,2733613.0,2733613.0,,,,,,,,,,,,,,,,
2018-03-31,2018-12-06,10-K,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,11550.0,,186579.0,101477.0,,,,,170186.0,26242.0,22481.0,,,12297.0,4902.0,0.0,0.001,200000000.0,2710000.0,1204000.0,,,1204.0,,2200000.0,,,,,,,,72600.0,72600.0,0.0,,-72600.0,16393.0,,,,3400.0,,-1.04,-0.21,0.21,,,,,0.0,135682.0,170186.0,2200000.0,,2044.0,,,0.0,11250.0,,,,,3400.0,13945.0,28609.0,,,,,,10184.0,3761.0,3761.0,28609.0,0.0,28609.0,,2888894.0,26242.0,688894.0,186579.0,173376.0,-38620.0,,-129854.0,-2552914.0,,-2400839.0,,645335.0,2845335.0,152075.0,,,345747.0,,,,38620.0,,,,,,,,10184.0,,1000.0,,,172376.0,,0.0,,,-2627994.0,0.0,7167.0,1000000.0,-2862652.0,-2862652.0,45000.0,,,,,1000.0,,45000.0,,,-340000.0,337339.0,2466090.0,,2466090.0,,,,,,,,,,,,,,,,
2018-06-30,2019-01-15,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,2404.0,,186579.0,112227.0,,,,,,4698.0,937.0,,,937.0,-11360.0,,0.001,200000000.0,1204000.0,1204000.0,,,1204.0,,2200000.0,,,,,,,,,,,,,,,,,0.0,,-0.11,,,,,,,,91749.0,,,,,-134919.0,0.0,0.0,-12546.0,,,,,,,43171.0,,,-53355.0,,-10184.0,,3761.0,3761.0,43170.0,0.0,71780.0,,2991519.0,4698.0,791519.0,186579.0,72000.0,,,-83360.0,-134919.0,,-43170.0,,717335.0,2917335.0,91749.0,,,545000.0,,,,,,,,,,,,0.0,,,,,72000.0,,0.0,,,-2762913.0,0.0,10750.0,1000000.0,-2986821.0,-2986821.0,,,,,,,,,,,,337339.0,1204000.0,,1204000.0,,,,,,,,,,,,,,,,
2018-09-30,2019-01-15,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,15452.0,,186579.0,122977.0,,,,,,4094.0,333.0,,,333.0,,,0.001,200000000.0,1204000.0,1204000.0,,,1204.0,,2200000.0,,,,,,,,,,,,,,,,,0.0,,-0.06,,,,,,,,24401.0,,,,,-70208.0,0.0,,,,,,,,,,,,,,,,3761.0,3761.0,45807.0,,117586.0,,3050373.0,4094.0,850373.0,186579.0,,,,,-70208.0,,-45807.0,,717335.0,2917335.0,24401.0,,,604400.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,-2833121.0,0.0,10750.0,1000000.0,-3046279.0,-3046279.0,,,,,,,,,,,,337339.0,1204000.0,,1204000.0,,,,,,,,,,,,,,,,
2018-12-31,2019-02-14,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,21852.0,,186579.0,133727.0,,,,0.0,,8799.0,8799.0,,,8799.0,,,0.001,200000000.0,1204000.0,1204000.0,,,1204.0,,2200000.0,,,,,,,,,,,,,,,,,0.0,,-0.07,,,,,,1380.0,1380.0,34025.0,,,,,-78397.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,45752.0,,163338.0,,3122725.0,8799.0,922725.0,186579.0,,,,,-78397.0,,-44372.0,,737535.0,2937535.0,34025.0,,,672100.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,-2911518.0,0.0,10750.0,1000000.0,-3113926.0,-3113926.0,,,,,,,,,,,,337339.0,1204000.0,,1204000.0,,,,,,,,,,,,,,,,
2019-03-31,2019-07-09,10-K,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,19652.0,0.0,0.0,144477.0,0.0,,,0.0,0.0,1334.0,1334.0,,,1334.0,-10963.0,0.0,0.001,200000000.0,1204000.0,1204000.0,,0.0,1204.0,,2200000.0,,,0.0,,,,,64200.0,64200.0,0.0,,64200.0,0.0,,0.0,,741035.0,,-0.29,-0.21,0.21,43000.0,,5140.0,1380.0,1380.0,169690.0,170186.0,0.0,0.0,0.0,,,0.0,8102.0,,-3400.0,,0.0,-3400.0,-13945.0,180531.0,0.0,,,13945.0,,,0.0,0.0,180531.0,0.0,209140.0,0.0,3169827.0,1334.0,969827.0,0.0,95700.0,0.0,,-106663.0,-348841.0,0.0,-179151.0,741035.0,0.0,2941035.0,169690.0,,,305800.0,0.0,,0.0,0.0,,0.0,100000000.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,95700.0,,0.0,,,-2976835.0,0.0,43000.0,1000000.0,-3168493.0,-3168493.0,0.0,,,,,,,,0.0,,,337339.0,1204000.0,,,,,,,,,,,,,,,,,,
2019-06-30,2019-07-26,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,25008.0,,,155227.0,,10750.0,,0.0,,2466.0,2466.0,,,2466.0,1132.0,0.0,0.001,200000000.0,1204000.0,1204000.0,,,1204.0,,2200000.0,,,0.0,,,,0.0,,,,,,,,,,749035.0,,-0.06,,,,,,,,22974.0,,,0.0,,-69073.0,0.0,0.0,5356.0,,,,0.0,,,46099.0,0.0,,,0.0,0.0,,,,46099.0,0.0,255239.0,,3229282.0,2466.0,1029282.0,,8000.0,,,-6868.0,-69073.0,,-46099.0,,749035.0,,22974.0,,,,,,,,,,,,,,,,,0.0,,,8000.0,,,,,-3045908.0,0.0,10750.0,1000000.0,-3226816.0,-3226816.0,,,,,,,,,,10750.0,,337339.0,1204000.0,,,,,,,,,,,,,,,,,,
2019-09-30,2019-11-05,10-Q,"Rapid Therapeutic Science Laboratories, Inc.",RTSL,CIK0001575659,USD,,28458.0,,,165977.0,,,,0.0,,3260.0,3260.0,,,3260.0,,,0.001,200000000.0,1204000.0,1204000.0,,,1204.0,,2200000.0,,,0.0,,,,,,,,,,0.0,,,,756535.0,,-0.06,,,,,,,,20906.0,,,0.0,,-67673.0,0.0,,,,,,,,,,,,,,,,,,46767.0,,302006.0,,3286999.0,3260.0,1086999.0,,,,,,-67673.0,,-46767.0,,756535.0,,20906.0,,,,,,,,,,,,,,,,,,,,,,,,,-3113581.0,0.0,10750.0,1000000.0,-3283739.0,-3283739.0,,,,,,,,,,10750.0,,337339.0,1204000.0,,,,,,,,,,,,,,,,,,
