end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableOtherCurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulOtherReceivablesCurrent,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashUninsuredAmount,CommonStockDiscountOnShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsValuationAllowance,Deposits,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,GainsLossesOnExtinguishmentOfDebt,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestIncomeOther,InterestIncomeRelatedParty,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherReceivablesNetCurrent,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,ProvisionForDoubtfulAccounts,RelatedPartyDepositLiabilities,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromRelatedParties,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,InterestPayableCurrent,NotesPayableCurrent
2019-09-30,2019-11-14,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,8345.0,,,,,,245359.0,,,,68764.0,,,4143.0,,4143.0,,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,4500.0,153626.0,-0.01,,,,2000.0,-74340.0,,,,,,,,,,,2304.0,2304.0,,750.0,,,161971.0,68764.0,,,,,-74340.0,-1554.0,74787.0,-72787.0,,,,,101.0,,0.0001,20000000.0,,,,,,,,,,,,-339239.0,2000.0,,2000.0,-93207.0,,,,,,,,,,,,6731667.0,,
2019-12-31,2020-06-29,10-K,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,16087.0,,,,,,238446.0,,,,153928.0,153928.0,,57719.0,,57719.0,-186370.0,57719.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,15000.0,,,42749.0,,4500.0,1295.0,-0.01,0.21,,,19500.0,-59473.0,,3242.0,,,-21000.0,-21000.0,100993.0,,91709.0,-5000.0,,,4500.0,4500.0,,,118375.0,153928.0,118375.0,-118923.0,-4500.0,-62947.0,-59473.0,4500.0,83473.0,-63973.0,203566.0,100993.0,,,91709.0,,0.0001,20000000.0,,,,,,,-118923.0,,,,300000.0,-203566.0,34500.0,,34500.0,35553.0,35553.0,,,,,,,,,,12489.0,6731667.0,,
2020-03-31,2020-07-20,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,24082.0,,,,,,238446.0,,,,147612.0,147612.0,,36718.0,,36718.0,-21001.0,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,4500.0,1295.0,0.0,,,,,14311.0,,7995.0,,,,,,,14685.0,,,,,,,,126370.0,147612.0,126370.0,,,-21001.0,-14311.0,,-14311.0,14311.0,,100993.0,,,106394.0,,0.0001,20000000.0,,,,,,,,,,,,-217877.0,,,,21242.0,,,,,,,,,,,,6731667.0,,
2020-06-30,2020-08-17,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,15927.0,,,,,,238446.0,,,,126318.0,126318.0,,20622.0,,20622.0,,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,4500.0,1295.0,0.0,,,,7500.0,-13139.0,,,,,,,,,,,,,,,,,118215.0,126318.0,118215.0,,,,-13139.0,,20639.0,-13139.0,,100993.0,,,101196.0,,0.0001,20000000.0,,,,,,,,-13139.0,,,,-231016.0,7500.0,,,8103.0,21242.0,,,,,,,,,,,6731667.0,,
2020-09-30,2020-11-13,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,12095.0,,,,,,238446.0,,,,120594.0,120594.0,,14367.0,,14368.0,,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,0.0,1295.0,0.0,,,,2000.0,-6555.0,,,,,,,,,,,,,,,,,119046.0,120594.0,119046.0,,,,-6555.0,,8555.0,-6555.0,,105656.0,,,101727.0,,0.0001,20000000.0,,,,,,,,-6555.0,,,,-237571.0,2000.0,,,1548.0,,,,,,,,,,,,6731667.0,,
2020-12-31,2021-03-15,10-K,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,33595.0,,16000.0,,,,238446.0,,63453.0,,66173.0,66173.0,,11899.0,,11899.0,-45820.0,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,8245.0,,,64888.0,,,102451.0,-0.02,0.21,,,23755.0,-105426.0,,17508.0,16000.0,,,,163.0,,10018.0,,,,4500.0,,,,136046.0,66173.0,136046.0,,4500.0,-50320.0,-105426.0,,129181.0,-105426.0,308992.0,101156.0,,,38274.0,,0.0001,20000000.0,0.0,0.0,,,,,,,63453.0,,,-308992.0,32000.0,,,-69873.0,,,,,,,,,,,22139.0,6731667.0,,
2021-03-31,2021-07-06,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,5595.0,,,,,,339602.0,,,-66173.0,,,,,,,-11899.0,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,,1295.0,-0.01,,,-28000.0,,38173.0,,,,,,,,,,,,,,,,,,,6890.0,-11899.0,,,-38173.0,38173.0,,,,,,,,,0.0001,20000000.0,,,,,,-11899.0,,,0.0,,,-347165.0,,,,-6890.0,,,,,,,,,,,,6731667.0,,
2021-06-30,2021-08-13,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,5595.0,,,,,,339602.0,,,,,,,,,,,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,,4925.0,0.0,,,,,-3630.0,,,,,,,,,,,,,,,,,,,10520.0,,,,-3630.0,,3630.0,-3630.0,,,,,,,0.0001,20000000.0,0.0,0.0,,,,,,-3630.0,,,,-350795.0,,,,-10520.0,,,,,,,,,,,,6731667.0,,
2021-09-30,2021-11-10,10-Q,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,5595.0,,,,,,339602.0,,,,,,,,,,,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,,4925.0,0.0,,,,,-8085.0,,,,,,,,,,,,,,,,,,,18605.0,,,,-8085.0,,8085.0,-8085.0,,8085.0,,,,,0.0001,20000000.0,0.0,0.0,,,,,,-8085.0,,,,-358880.0,,,,-18605.0,,,,,,,,,,,,6731667.0,,
2021-12-31,2022-02-25,10-K,"MS YOUNG ADVENTURE ENTERPRISE, INC",MSYN,CIK0001693687,USD,5595.0,,,,,,340897.0,,,66173.0,,,,,,,-11899.0,0.0,,0.0001,100000000.0,6731667.0,6731667.0,673.0,,,,,,,,-0.01,,,,,-67640.0,,61.0,,,,,,,,,61.0,,,,,,,,35062.0,-11899.0,,,-67640.0,-61.0,67579.0,-67579.0,,,,,,,0.0001,20000000.0,0.0,0.0,,,,,,,,,11899.0,-376632.0,,,,-35062.0,,,,,,,,,,,,6731667.0,61.0,29406.0
