end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AreaOfLand,Assets,AssetsCurrent,AssetsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CurrentIncomeTaxExpenseBenefit,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DepositLiabilityCurrent,Depreciation,DepreciationAndAmortization,DueFromRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FiniteLivedIntangibleAssetsAccumulatedAmortization,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetIncludingGoodwill,InterestExpense,InterestExpenseOther,InventoryNet,LeaseIncentiveReceivableCurrent,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LongTermDebtCurrent,LongTermLoansPayable,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OriginationOfNotesReceivableFromRelatedParties,OtherAssetsCurrent,OtherCostAndExpenseOperating,OtherDepreciationAndAmortization,OtherGeneralExpense,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherNonrecurringIncomeExpense,OtherNotesPayableCurrent,OtherSellingGeneralAndAdministrativeExpense,PaymentOfFinancingAndStockIssuanceCosts,PaymentsForProceedsFromDepositOnLoan,PaymentsForSoftware,PaymentsOfLoanCosts,PaymentsOfStockIssuanceCosts,PaymentsToAcquireInProcessResearchAndDevelopment,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireReceivables,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProductWarrantyExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentExcludingLessorAssetUnderOperatingLeaseAccumulatedDepreciation,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionRate,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RoyaltyExpense,SalesRevenueServicesNet,SellingAndMarketingExpense,SellingGeneralAndAdministrativeExpense,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AccountsReceivableNetCurrent,EmployeeRelatedLiabilitiesCurrent,IncreaseDecreaseInEmployeeRelatedLiabilities,NotesPayable,ProvisionForDoubtfulAccounts,DepreciationDepletionAndAmortization,StockholdersEquityPeriodIncreaseDecrease,InvestmentCompanyInvestmentIncomeLossPerShare
2019-09-30,2019-11-19,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,10476.0,1007.0,,40477.0,,,,,,,,81.0,,,,,,,0.001,75000000.0,4346750.0,4346750.0,4357.0,,,,,,,,,,,,,,,7664.0,,,,14658.0,,-14658.0,,,,,,,,,,,,,,,,,,,81.0,18140.0,,7664.0,,,,,,,-14658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,-62893.0,,,,,,,,-18059.0,,,,55058006.0,,,,,,,,,
2019-12-31,2020-02-19,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,11856.0,1074.0,,40477.0,,,,,,,,14.0,,,,,,,0.001,75000000.0,4356750.0,4356750.0,4357.0,,,,,,,,,,,806.0,,,,14849.0,0.0,,,8632.0,,-8632.0,,,,,,,,,,,,,,,,,,,14.0,26705.0,,14849.0,,,,,,,-8632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,-71525.0,,,,,,,,-26691.0,,,,55058006.0,,,,,,,,,
2020-03-31,2020-07-14,10-K,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,0.0,0.0,14467.0,0.0,-10224.0,-10224.0,,,,,200000.0,55058006.0,,0.0,,,,,0.0,-1053.0,0.001,1500000000.0,264384488.0,264384488.0,55058.0,6546.0,,,,0.0,470543.0,475902.0,-5359.0,470543.0,,0.0,215.0,,6546.0,12000.0,0.0,200000.0,,33680.0,,-33680.0,,-791.0,,,11467.0,,,,,,,,,,,,,33013.0,0.0,33013.0,,,18546.0,,,21736.0,,-22789.0,-33680.0,12000.0,,33680.0,,,,,,,,,,,,,,,,,,,,,,150000000.0,0.0,0.0,0.0,,,,12000.0,,12000.0,,9736.0,,,,0.0,,,,0.0,,,,,-77847.0,,,,,,,0.02,-33013.0,,0.0,,264384488.0,,,,,,,,,
2020-06-30,2020-08-19,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,1500.0,1500.0,33320.0,68863.0,,-10224.0,,,,,,55058.06,,0.0,,,,,68300.0,68300.0,0.001,100000000.0,55058006.0,55058006.0,55058.0,,174414.0,,,,,,,,,68863.0,68863.0,,6546.0,12000.0,0.0,50000.0,,77199.0,55757.0,-257104.0,18853.0,863162.0,,624242.0,,,124601.0,945000.0,105796.0,-150000.0,,,5833.0,,16000.0,,,,0.0,51866.0,,,,,,2847144.0,-2025633.0,-753211.0,-275957.0,,,307028.0,-251271.0,,,,,,,-5833.0,,,10242.0,,,,,,,1751000.0,,274633.0,,10000000.0,0.0,0.0,,,,,,,,,,,79390.0,,,,331335.0,,25985.0,,,,,-96700.0,230171.0,,,,,,,-308970.0,,0.0,,55058006.0,,,,,,,,,
2020-09-30,2020-11-16,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,1500.0,49353.0,97277.0,,-10224.0,,,-1054216.0,,,,,,,,,,-116503.0,,0.001,100000000.0,55058006.0,55058006.0,,,70826.0,,,,,,,,,,69913.0,,10618.0,12000.0,0.0,300000.0,,90250.0,4174.0,-850922.0,,,,,,,,,,,,,378419.0,,0.0,,,,,71971.0,,,,,,,,,-850922.0,,,476677.0,-472503.0,,,,,,,-378419.0,,,,,,,,,,,,,,10000000.0,0.0,0.0,,,,,,,,,,,133904.0,,97276.0,,,,,,,,0.0,-116805.0,75000.0,,,,152896.0,,,-4500725.0,,,,55058006.0,,,,,,,,,
2020-12-31,2021-02-16,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,,,,,53293.0,0.0,,-10224.0,,,,,,,,0.0,,,,,,,0.001,100000000.0,55058006.0,55058006.0,,,,,,,,,,,,,,,10618.0,17443.0,0.0,0.0,,9383.0,,-9383.0,,,,,,,,,,,,,,,,,,,0.0,81354.0,,,,,,,,,-9383.0,,,9383.0,-9383.0,,,,,,,,,,,,,,,,,,,,,10000000.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,-126188.0,,,,,,,,-81354.0,,,,55058006.0,,,,,,,,,
2021-03-31,2021-07-30,10-K,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,103205.0,,427910.0,1500.0,1500.0,125704.0,2065923.0,,,2076147.0,,40158.0,162500.0,14900625.0,200.0,2161654.0,246302.0,1915352.0,28761.0,,28761.0,28761.0,0.001,1500000000.0,224227107.0,224227107.0,14900.0,4401358.0,120253.0,,,0.0,,,,,21764.0,55796.0,272779.0,163200.0,,,-0.01,362500.0,,304992.0,98621.0,,,152136.0,,38341.0,413443.0,163200.0,,,,,16000.0,1600975.0,,611536.0,,38341.0,,5570295.0,2161654.0,4981404.0,588891.0,,3002174.0,588891.0,,3831151.0,-2188131.0,-1614258.0,-2235075.0,834653.0,509972.0,1722161.0,,,,244186.0,,,25667.0,-611536.0,,1745000.0,52804.0,,,,,40158.0,,1801000.0,,387131.0,,10000000.0,0.0,0.0,16000.0,,,,,,3603654.0,,1368049.0,13399.0,177589.0,,108746.0,,314377.0,,25985.0,0.1,,1100394.0,,-5489464.0,218874.0,,33771.0,,,,,-3408641.0,,,,191762740.0,,38341.0,,,4401358.0,,272779.0,-40158.0,
2021-06-30,2021-08-23,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,111455.0,,1500.0,1500.0,452552.0,146698.0,2496046.0,,,,430123.0,,,224227107.0,200.0,2556360.0,598776.0,1957584.0,330838.0,,330838.0,302078.0,0.001,1500000000.0,224227107.0,224227107.0,14900.0,5017148.0,6532.0,,,,,,,,21763.0,70479.0,70479.0,164200.0,,,0.0,450050.0,296914.0,59228.0,30589.0,-390032.0,0.0,8250.0,,26397.0,,,24640.0,24000.0,,294066.0,,1550950.0,126831.0,,40000.0,63738.0,,5924910.0,2556360.0,5630085.0,294825.0,,,294825.0,,1045914.0,-113250.0,-630586.0,-390032.0,,,590704.0,-560115.0,,,,,,25667.0,170083.0,,,376.0,,,,,,362500.0,,,113250.0,25000.0,10000000.0,0.0,0.0,40000.0,,,,,425745.0,,250000.0,,,100955.0,,,,406634.0,,36856.0,0.1,,,334500.0,-5879496.0,37121.0,,,,,,,-3368550.0,,0.0,,224213700.0,,63738.0,,,,,,,0.01
2021-09-30,2021-12-03,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,112477.0,,0.0,1500.0,441313.0,669304.0,2478761.0,,,,754291.0,,,,200.0,2299503.0,380976.0,1918527.0,67326.0,,67326.0,,0.001,1500000000.0,224227107.0,224227107.0,14900.0,5710512.0,8477.0,,,,,,,,21454.0,,72557.0,206700.0,,,-0.01,500075.0,146959.0,9184.0,49332.0,-1546286.0,,,,,,,,,,,,1500925.0,147231.0,,40000.0,66950.0,,6460048.0,2299503.0,6311423.0,148625.0,,,148625.0,,,,,-1546286.0,,,823770.0,-774438.0,,,,,,25667.0,-771848.0,,,,,,,,,,,,,,150000000.0,0.0,0.0,40000.0,,,,,,,,,,255048.0,,169230.0,,417602.0,,,,,,397500.0,-7425782.0,57809.0,,,,30544.0,,,-4160545.0,,,,224213846.0,,66950.0,,,,,,,
2021-12-31,2022-02-22,10-Q,OMNIA WELLNESS INC.,OMWS,CIK0001676852,USD,330011.0,,0.0,,483709.0,739815.0,3121206.0,,,,770694.0,,,,200.0,2337225.0,419765.0,1917460.0,28697.0,,28697.0,,0.001,1500000000.0,,229905146.0,14900.0,,2904.0,,,,,,,,8002.0,,70510.0,305600.0,,,0.0,550100.0,-149673.0,103283.0,53929.0,-771268.0,,,,,,,,,,,,1450900.0,105403.0,,,,,6498344.0,2337225.0,6498344.0,0.0,,,0.0,,,,,-771268.0,,,741217.0,-687288.0,,,,,,25667.0,-83980.0,,,,,,,,,,,,,,150000000.0,0.0,0.0,43700.0,,,,,,,,,,234224.0,,189715.0,,1917460.0,,,,,,205000.0,-8197050.0,56833.0,,,,14495.0,,,-4161119.0,,,,227084895.0,,41768.0,19322.0,,5631633.0,-2200.0,,,
