end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossBeforeTax1,AcquisitionCostsCumulative,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvanceRoyalties,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscriptions,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsCommonStock,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EquityMethodInvestmentAggregateCost,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentSummarizedFinancialInformationAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,EquityMethodInvestmentSummarizedFinancialInformationEquity,EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,EquityMethodInvestmentSummarizedFinancialInformationRevenue,EquityMethodInvestments,ExplorationCosts,ExplorationExpenseMining,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPayableCurrent,InterestRevenueExpenseNet,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NotesPayableRelatedPartiesClassifiedCurrent,NotesReduction,OfficersCompensation,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherExpenses,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquireRoyaltyInterestsInMiningProperties,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProfitLoss,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SharesIssued,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfDilutedSharesOutstanding,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockSharesOutstanding,CommonStockValue,DueToOtherRelatedPartiesClassifiedCurrent,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,ProceedsFromRelatedPartyDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,ShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices
2015-06-30,2015-08-14,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,41374.0,,28103.0,,,,1005270.0,,,,,,9796.0,9796.0,629.0,629.0,,,,,,0.001,500000000.0,49614797.0,,49615.0,,,,,,30227.0,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,30227.0,,,,,,,,,,,579.0,-566.0,,,9796.0,186977.0,50000.0,,,,,,-30793.0,,,,,-30227.0,,,,,-566.0,,,9167.0,,,,,,,,-1232066.0,,,,,-177181.0,,,,7087828.0,,,,,,,,,,,,
2015-09-30,2016-05-13,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,36795.0,,35040.0,,,,1005270.0,,,,,,,8620.0,1953.0,1953.0,,,,,,0.001,500000000.0,49615297.0,,49615.0,,,,,,62218.0,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,30003.0,,,,,,,,,,1317.0,827.0,-1317.0,,,8620.0,249335.0,110000.0,,,,,,-63535.0,,,,,-62218.0,,,,-1317.0,-1317.0,,,6667.0,,,,,,,32215.0,-1295600.0,,,,,-240715.0,,,,7087828.0,,,,,,,,,,,,
2015-12-31,2016-05-23,10-K,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,33850.0,,49951.0,,,,1005270.0,,,,,,5156.0,5156.0,989.0,989.0,-3434.0,,,,,0.001,500000000.0,7087919.0,,49615.0,,,,,,146476.0,,,,,,,,458900.0,1311030.0,,,,,-0.02,,,,,,,,,,,,,,,,114261.0,,,,,16432.0,44506.0,,,-4167.0,3729.0,,-3729.0,,,5156.0,261301.0,110000.0,90000.0,,,-93434.0,,-150205.0,,,,,-146476.0,1311030.0,,,-3729.0,-3729.0,,,4167.0,,,,90000.0,,-150205.0,32215.0,-1311030.0,,,,,-256145.0,,,,7087828.0,,,,,,,,,,,,
2016-03-31,2016-05-23,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,44010.0,,64867.0,,,,1005270.0,,,,,,,2217.0,550.0,550.0,-439.0,,,,,,,49615297.0,,49615.0,,,,,,26606.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,26606.0,,,,,10160.0,14916.0,,,2500.0,1409.0,5033.0,-1409.0,,,2217.0,286377.0,110000.0,,,,-439.0,,-28015.0,,,,,-26606.0,,,,-1409.0,-1409.0,,,1667.0,,,,,,-28015.0,,-1339045.0,,,,,-284160.0,,,,7087900.0,,,,,,,,,,,,
2016-06-30,2016-08-22,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,23160.0,,70572.0,,,,1188208.0,,,,,,,137170.0,7170.0,7170.0,,,,,,0.001,500000000.0,16677431.0,,16677.0,,,,,156831.0,43861.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,43861.0,,,,,,,,,,2872.0,,-2872.0,130000.0,,137170.0,318063.0,,,,,,,-46733.0,,,,,-43861.0,,,,-2872.0,-2872.0,,,,,,,,,,,-1385778.0,,,,,-180893.0,,,,9406253.0,,,,,,,,,,,,
2016-09-30,2016-11-14,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,24394.0,,85671.0,,,,1188208.0,,,,,,,182165.0,23875.0,23875.0,,,,,,0.001,500000000.0,16677451.0,,16677.0,,,,,246280.0,27627.0,,,,,,,,,,,,,,0.0,,,,160000.0,,,,,,,,158290.0,,,,27627.0,,,-1710.0,,,,,,,31450.0,,,,,182165.0,423845.0,,,,,,,-60787.0,,,,,-27627.0,,,,-33160.0,,,,,,,,,,,,-1446565.0,,,,,-241680.0,,,,16677451.0,,,,,,,,,,,,
2016-12-31,2017-04-17,10-K,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,23691.0,,85671.0,,,,1562516.0,347308.0,,,,,268982.0,268982.0,10271.0,10271.0,9282.0,,,,,0.001,500000000.0,16677451.0,,16677.0,,,,73319.0,73319.0,134353.0,,387165.0,374308.0,,,,-374308.0,546100.0,1560392.0,,,,,-0.02,,,,,0.4,1163965.0,171147.0,21809.0,1142156.0,1163965.0,,249336.0,,,43164.0,134353.0,,,-43164.0,,-2994.0,35720.0,,,-5208.0,71845.0,,,,,268982.0,250181.0,,420000.0,,-292500.0,-118218.0,,-249362.0,,,,,-134353.0,,,,-115009.0,,292500.0,,9375.0,270000.0,,150000.0,,,-249362.0,,-1560392.0,,,,,18801.0,,150000.0,,12563806.0,,,,,,,,,,,,
2017-03-31,2017-05-19,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,29003.0,,85724.0,,,,1732479.0,,,,26363000.0,,353387.0,353387.0,1461.0,1461.0,-8810.0,,,,,0.001,500000000.0,18338022.0,,18338.0,,11624.0,,113671.0,113671.0,36949.0,,535541.0,160000.0,,,,-534308.0,377051.0,1693328.0,,,,,-0.01,,,,,0.4,1218923.0,218901.0,26789.0,1192134.0,1218923.0,,345677.0,,,33659.0,36949.0,,,-33659.0,,5312.0,53.0,,,3126.0,62328.0,,,,,353387.0,295898.0,,160000.0,,-130000.0,-38810.0,,-132936.0,,,,,-36949.0,,,,-95987.0,,130000.0,,6249.0,160000.0,,,,,-132936.0,,-1693328.0,,,,,57489.0,,,,17673872.0,,,,,,,,,,,,
2017-06-30,2017-08-21,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,49231.0,,80499.0,,,,2013329.0,,,,,,562394.0,562394.0,31572.0,31572.0,,,,,,0.001,500000000.0,21000393.0,,21000.0,-160528.0,,,184691.0,184691.0,52891.0,,826904.0,,,,,-424875.0,102712.0,542826.0,,,,,-0.01,,,,,0.4,1337640.0,330855.0,17860.0,1319780.0,1337640.0,,3123.0,,,,52891.0,,,-45478.0,,,,,,,62159.0,,,,,562394.0,381921.0,,,,,,,-160528.0,-160528.0,,,,-52891.0,,,,-107637.0,,,,527699.0,,,,,,,,-1853856.0,,,,,180473.0,,,,20299827.0,,,,,,,,,,,,
2017-09-30,2017-11-14,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,73576.0,,85799.0,,,,2025912.0,,,,,,493865.0,493865.0,8314.0,8314.0,,,,,,0.001,500000000.0,23097424.0,,23097.0,-144301.0,,,216138.0,216138.0,36429.0,,812224.0,,,,,738721.0,152486.0,685035.0,,,,,-0.01,,,,,0.4,1254109.0,244338.0,21727.0,1232382.0,1254109.0,,485551.0,,,,36429.0,,,-42148.0,,,,,,,65724.0,,,,,493865.0,443013.0,,,,,,,-144301.0,-144301.0,,,,-36429.0,,,,-107872.0,,,,,,,,,,,,-1998157.0,,,,,50852.0,,,,21980124.0,,,,,,,,,,,,
2017-12-31,2018-04-17,10-K,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,90816.0,,91499.0,,,,2047718.0,432701.0,,,,,480694.0,28823.0,28823.0,28823.0,18552.0,,,,,0.001,500000000.0,25397424.0,,25397.0,,61221.0,,284450.0,284450.0,158912.0,,845944.0,432701.0,,,,716938.0,446604.0,2100000.0,276469.0,,,,-0.03,0.35,1.0,0.21,,0.4,1193884.0,186083.0,41814.0,1152070.0,1193884.0,-4158.0,451871.0,,,154965.0,158912.0,,,-154965.0,,67125.0,5828.0,,,9375.0,252417.0,,,,534265.0,480694.0,534265.0,,520000.0,,-357500.0,-143948.0,,-566294.0,,,,,-158912.0,,,,-407382.0,,357500.0,,,520000.0,,,,,-566294.0,,-2126686.0,,,,,-53571.0,61221.0,,,21141883.0,,,,,,,,,,,,
2018-03-31,2018-05-21,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,108659.0,,99660.0,,11574.0,,2053907.0,,,,22572556.0,,461606.0,26388.0,26388.0,26388.0,-2435.0,,,,,0.001,500000000.0,26197424.0,,26197.0,,5600.0,,343944.0,343944.0,33462.0,,25000.0,1389.0,,,,1389.0,,,,,,,0.0,,,,,0.4,1103997.0,90340.0,15951.0,1088046.0,1103997.0,,435218.0,,,28227.0,33462.0,,,-28227.0,,17843.0,8161.0,,,,61460.0,,,,,461606.0,619763.0,,25000.0,,,-27435.0,,-123149.0,,,,,-33462.0,,,,-89687.0,,,,,25000.0,,,,,-123149.0,,-2249835.0,,,,,-158157.0,,,,25877424.0,,,,,,,,,,,,
2018-06-30,2018-08-20,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,134842.0,,117660.0,,9215.0,,2092057.0,,,,,,478076.0,62930.0,50930.0,50930.0,,,,,,0.001,500000000.0,29719250.0,,29719.0,-125223.0,,,399782.0,399782.0,47926.0,,85000.0,,,,,18409.0,,,,,,,0.0,,,,,0.4,1055425.0,44105.0,17560.0,1037865.0,1055425.0,,415146.0,,,,47926.0,,,-17713.0,,,,,,,57225.0,,,,,478076.0,719784.0,,,,,,,-122864.0,-122864.0,,,,-47926.0,,-2359.0,,-74938.0,,,,12000.0,,,,,,,,-2372699.0,,,,,-241708.0,,,,27801807.0,,,,,,,,,,,,
2018-09-30,2018-11-14,10-Q,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,154447.0,,108496.0,,9215.0,,2100150.0,,,,,,412627.0,16728.0,7728.0,7728.0,,,,,,0.001,500000000.0,31068136.0,,31068.0,-110790.0,,,425240.0,425240.0,35155.0,,85000.0,,,,,18409.0,,,,,,,0.0,,,,,0.4,1152674.0,146636.0,163617.0,989057.0,1152674.0,,395899.0,,,,35155.0,,,-19247.0,,,,,,,56388.0,,,,755683.0,412627.0,755683.0,,,,,,,-110790.0,-110790.0,,,,-35155.0,,,,-75635.0,,,,9000.0,,,,,,,,-2483489.0,,,,,-343056.0,,,,30393581.0,,,,,,,,,,,,
2019-12-31,2022-03-16,10-K,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1047472.0,,,,,,,,,,,,,,,,
2021-12-31,2022-01-26,10-K,"ZENOSENSE, INC.",ZENO,CIK0001458581,USD,980598.0,,,,,,2226397.0,,,,,,,,,,,,,,,0.001,500000000.0,31932843.0,,,,,425240.0,,,,,,,,,,,,,,,,10243.0,-0.01,,,,,,,,,,,,,,,,10243.0,,,,,233431.0,,,,,233431.0,233431.0,,,1524577.0,,1524577.0,,10243.0,,,-10243.0,,-243674.0,,,,,-10243.0,,,,,,,,,,,,,,,,-3782907.0,,,,,-1524577.0,,,,,0.0,0.0,31932843.0,31933.0,108496.0,-243674.0,-233431.0,10243.0,10243.0,23889500.0,,
