end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableTradeCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfAcquisitionCosts,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositLiabilitiesAccruedInterest,DepositsAssetsNoncurrent,DueFromOtherRelatedPartiesCurrent,DueFromRelatedPartiesCurrent,DueFromRelatedPartiesNoncurrent,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FairValueAdjustmentOfWarrants,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsFinitelived,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherExpenses,OtherNonoperatingIncomeExpense,PaymentsForDeposits,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfInitialPublicOffering,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockNumberOfSharesIssuedInTransaction,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExpirations,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueVested,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsNonvestedOptionsForfeitedNumberOfShares,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationForfeited,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,StockIssuedDuringPeriodSharesIssuedForServices
2017-06-30,2017-07-31,10-K,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,210405.0,60000.0,,12235.0,1235457.0,,,6545.0,,,,773692.0,384107.0,0.0,242778.0,242778.0,242778.0,,,,0.0001,200000000.0,32615112.0,32615112.0,484000.0,3262.0,,,15830.0,,,70945.0,70945.0,,86670.0,,141329.0,,,19341.0,-0.01,,,,,24340.0,,,148255.0,,,,5843.0,138330.0,,,5843.0,,,,,,91576.0,773692.0,210405.0,,591785.0,-151670.0,-197337.0,-213105.0,191432.0,2272192.0,,,5843.0,,86670.0,,6545.0,65000.0,,0.0001,10000000.0,,,,582500.0,,170661.0,,,,12261.0,-191432.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,563287.0,,,,,,201228.0,,,47131619.0,
2017-09-30,2017-11-03,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,,60000.0,10000.0,13866.0,431814.0,,,,,,,0.0,,,865010.0,622232.0,,,,,0.0001,100000000.0,25110192.0,25110192.0,,2511.0,,,444900.0,,,,,,,,,,,22241.0,-0.01,,,,,300286.0,,,-145945.0,,,,,-27999.0,1631.0,,1631.0,,,,,432000.0,,0.0,106107.0,,909036.0,-2900.0,-283904.0,-451074.0,451074.0,,,,1631.0,,2900.0,,22464.0,,,0.0001,10000000.0,,,,931500.0,2900.0,70475.0,,,,80313.0,-540432.0,,,285116.0,,,,,,,,,,,,,,,,,,,,,,-106107.0,,,,,,,,,38758778.0,
2017-12-31,2018-02-14,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,56677.0,,,,2522997.0,,,,,,,1171643.0,868728.0,,754061.0,,754061.0,,,,0.0001,200000000.0,44059963.0,44059963.0,,4406.0,,,,,,,,,,,114667.0,,,,-0.01,,,,,178829.0,,,,,,,,,,,,,,,,,,1171643.0,56677.0,,,,,-303264.0,303264.0,,,,,,,,,,,0.0001,10000000.0,,,,,,114903.0,,,,9532.0,-945770.0,,,103567.0,,,,,,,,,,,,,,,,,,,,,,1114966.0,,,,,,,,,43585402.0,
2018-03-31,2018-05-15,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,53138.0,,,,2616966.0,,,,,,,1185981.0,848066.0,,733399.0,,733399.0,,,,0.0001,200000000.0,43756096.0,43756096.0,,4376.0,,,,,,,,,,,114667.0,,,,-0.01,,,,,173071.0,,,,,,,,,,,,,,,,,,1185981.0,53138.0,,,,,-267728.0,267728.0,,,,,,,,,,,0.0001,10000000.0,,,,,,93782.0,,,,875.0,-1213498.0,,,45833.0,,,,,,,,,,,,,,,,,,,,,,1132843.0,,,,,,,,,44578382.0,
2018-06-30,2018-09-28,10-K,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,88785.0,,,,2882888.0,,,4917.0,,,,1272321.0,834739.0,,819739.0,576961.0,819739.0,576961.0,,,0.0001,200000000.0,44448496.0,44448496.0,,4445.0,,,,,,568734.0,568734.0,,,,15000.0,99667.0,,,-0.03,,0.34,,,773437.0,,,-99156.0,,,,,-26662.0,,,,,,,,,,1272321.0,88785.0,,1500203.0,-47900.0,-875342.0,-1283197.0,1283197.0,,1534000.0,,,,12900.0,,27380.0,35000.0,12900.0,0.0001,10000000.0,,,,1527583.0,,392969.0,,,26662.0,116791.0,-1474629.0,,,480349.0,,,,,1801200.0,525600.0,1026000.0,,,,,,,,,,,,,,,1183536.0,99570.0,,,,55350.0,,266666.0,,42668066.0,
2018-09-30,2018-11-14,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,51485.0,,,,3316439.0,,,,,,,1025177.0,592095.0,,574095.0,-245644.0,574095.0,-245644.0,,,0.0001,200000000.0,44448496.0,44448496.0,,4445.0,,,,,,,,,,,18000.0,95167.0,,,-0.02,,,,155934.0,679382.0,,,-37300.0,-37300.0,,,,-1500.0,,-1500.0,,,,,,,,1025177.0,51485.0,,,,-245644.0,-797563.0,797563.0,,,,,,,,,,,0.0001,10000000.0,,,,,,84773.0,,,,33408.0,-2272192.0,,,587719.0,2.96,1.75,0.0216,0.02,,1034400.0,1038400.0,,571250.0,,,1960000.0,1960000.0,0.53,,0.53,,600000.0,,,,973692.0,,,,,277617.0,,,154168.0,44448496.0,
2018-12-31,2019-02-14,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,11641.0,,,,11334662.0,,,,,,,856769.0,418187.0,,398687.0,,398687.0,,,,0.0001,200000000.0,53715996.0,53715996.0,,5372.0,,,,,,,,,,,19500.0,90667.0,,,-0.04,,,,,1888541.0,,,,,,,,,,,,,,,,,,856769.0,11641.0,,,,,-1959165.0,1959165.0,,,,,,,,,,,0.0001,10000000.0,,,,,,58054.0,,,,12570.0,-4231357.0,,,,,,,,,,,,2280000.0,,,,3260000.0,0.55,,,,,,,0.76,845128.0,,,,,,,,,52426518.0,
2019-03-31,2019-05-14,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,7850.0,,,,11537545.0,,,,,,,756314.0,300732.0,,235152.0,,235152.0,,,,0.0001,200000000.0,53715996.0,53715996.0,,5372.0,,,,,,,,,,,19500.0,87667.0,,,-0.01,,,,,457627.0,,,,,,,,,,,,,,,,,,756314.0,7850.0,,,,,-484810.0,484810.0,,,,,,,,,,,0.0001,10000000.0,,46080.0,,,,24472.0,,,,2711.0,-4716167.0,,,,,,,,,,,,2638750.0,,,,3210000.0,0.55,,,,,,,,748464.0,,,,,,,,,53715996.0,
2019-06-30,2019-09-30,10-K,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,44750.0,,,,11505819.0,,,,,756342.0,,310670.0,310670.0,,146356.0,,146356.0,-673383.0,,,0.0001,200000000.0,53510718.0,53510718.0,,5351.0,,,,,,470228.0,470228.0,,,,,,,,-0.08,,0.21,,155934.0,3668841.0,367915.0,,-42535.0,-42535.0,,,,-15000.0,,49647.0,,,,,,,,310670.0,44750.0,,,-30000.0,-643383.0,-4300913.0,4300913.0,,1954000.0,64647.0,,,,,,30000.0,,0.0001,10000000.0,,164314.0,,,,200299.0,,,15000.0,63858.0,-5775542.0,,,1897755.0,2.96,1.75,0.0216,0.02,,2072800.0,1038400.0,,2895000.0,,227500.0,3260000.0,3032500.0,0.56,0.5,0.55,,150000.0,635417.0,5083333.0,0.1,265920.0,,,836000.0,,,37500.0,,210418.0,51033855.0,
2019-09-30,2019-11-12,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,22250.0,,,,11567620.0,,,,,578945.0,,205811.0,205811.0,,70821.0,,70821.0,-75535.0,,,0.0001,200000000.0,53984004.0,53984004.0,,5398.0,,,,,,,,,,,,,,,-0.01,,,,,682966.0,35000.0,,,-21000.0,,,,,,-29324.0,,,,,,42500.0,,205811.0,22250.0,,,,-75535.0,-741902.0,741902.0,,,35323.0,,,,,,,,0.0001,10000000.0,,134990.0,,,,23936.0,,,,,-6517444.0,,,36598.0,,,,,,,,,2951250.0,0.55,,302500.0,3032500.0,0.56,,0.56,,,,,,183561.0,,,,,7500.0,,,18750.0,53698615.0,
2019-12-31,2020-02-12,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,18499.0,,,,11583159.0,,,,,,,146839.0,146839.0,,48527.0,,48527.0,,,,0.0001,200000000.0,53984004.0,53984004.0,,5398.0,,,,,,,,,,,,,,,-0.01,,,,,687209.0,,,,,,,,,,,,,,,,,,146839.0,18499.0,,,,,-696274.0,696274.0,,,7645.0,,,,,,,,0.0001,10000000.0,,98312.0,,,,9065.0,,,,,-7213718.0,,,,,,,,,,,,2995000.0,0.55,,,2995000.0,0.56,,,,,,,,128340.0,,,,,,,,,53984004.0,
2020-03-31,2020-05-14,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,22330.0,,,,11583159.0,,,,,,,117083.0,117083.0,,22045.0,,22045.0,,,,0.0001,200000000.0,53984004.0,53984004.0,,5398.0,,,,,,,,,,,,,,,-0.01,,,,,546520.0,,,,,,,,,,,,,,,,,,117083.0,22330.0,,,,,-559670.0,559670.0,,,4371.0,,,,,,,,0.0001,10000000.0,,95038.0,,,,13150.0,,,,,-7773388.0,,,,,,,,,,,,2995000.0,0.55,,,2995000.0,0.55,,,,,,,,94753.0,,,,,,,,,53984004.0,
2020-06-30,2020-09-28,10-K,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,17151.0,,,,11583159.0,,,,,2303195.0,,22786.0,22786.0,,10786.0,,10786.0,-135570.0,,,0.0001,200000000.0,53984004.0,53984004.0,,5398.0,,12000.0,,,,564973.0,564973.0,,,,,,,,-0.05,,0.21,0.03,,2495386.0,35000.0,,,-26099.0,,,,,,-61647.0,33.0,,33.0,,33.0,42500.0,29151.0,22786.0,29151.0,90667.0,12000.0,,-147570.0,-2671617.0,2671584.0,8447159.0,2348000.0,12000.0,,-33.0,,,,,,0.0001,10000000.0,,12000.0,12000.0,,,50531.0,,,9000.0,,-8447159.0,,,52137.0,2.96,1.75,0.0216,0.02,,,,,,,37500.0,,2995000.0,0.55,0.38,,,,654167.0,5233333.0,,-6365.0,,473286.0,,,7500.0,,,18750.0,53912852.0,
2020-09-30,2020-11-10,10-Q,"NEXIEN BIOPHARMA, INC.",NXEN,CIK0001625288,USD,24682.0,,,,11856284.0,,248144.0,,,786997.0,,17202.0,17202.0,,8202.0,,8202.0,-2584.0,,,0.0001,200000000.0,55781196.0,55781196.0,,5578.0,,,,,,,,,,,,,,,-0.02,,,,,1045699.0,,,,7692.0,,,,,,-3000.0,128.0,,128.0,,,,,17202.0,24682.0,,13000.0,,-15584.0,-1061417.0,1061289.0,9508576.0,,,,-128.0,,,,,,0.0001,10000000.0,,9000.0,13000.0,,,15590.0,,,,,-9508576.0,,,248144.0,,,,,,,,,6745001.0,0.31,,5000000.0,,,,0.08,,,654167.0,5233333.0,,-7480.0,25161.0,473286.0,,25161.0,,,,,54951723.0,
