end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccrualForTaxesOtherThanIncomeTaxesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivableCurrent,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesIssuanceOfEquityBySubsidiaryToNoncontrollingInterests,CostOfGoodsAndServicesSold,CostsAndExpenses,DeferredIncomeTaxAssetsNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesCurrent,Depreciation,DividendIncomeSecuritiesOperatingTaxable,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExchangeFees,FeesAndCommissions,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInEquitySecuritiesFvNi,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidExpense,InterestAndDividendIncomeOperating,InterestIncomeExpenseNet,InterestIncomeOther,InterestPayableCurrentAndNoncurrent,InterestReceivableCurrent,InventoryNet,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToParentDiluted,NetRealizedOrUnrealizedGainLossOnTradingSecurities,NoninterestExpenseCommissionExpense,NoninterestExpenseTransferAgentAndCustodianFees,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesReceivableNet,OperatingExpenses,OperatingIncomeLoss,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherGeneralExpense,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentsForBrokerageFees,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributedCapital,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoanOriginations1,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfShortTermInvestments,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RealizedInvestmentGainsLosses,RelatedPartyTransactionRate,RetailRelatedInventoryMerchandise,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockPercentageOfOwnershipAfterTransaction,ShortTermInvestments,StockholdersEquity,StockholdersEquityAttributableToParentNotAllowableForNetCapital,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAdjustedBalance1,StockIssued1,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,TaxesAndLicenses,TaxesOther,TaxesPayableCurrent,TradingSecuritiesUnrealizedHoldingGainLoss,TreasuryStockCommonShares,TreasuryStockValue,VariableInterestEntityOwnershipPercentage,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-06-30,2019-09-27,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,89018.0,,,88.0,,94780.0,43780.0,,,,13120.0,7035.0,,,250000.0,,,0.001,999000000.0,9990000.0,9638650.0,9990.0,,,,7417.0,11761.0,,,,,,,,,,,0.0,,,,,279.0,7564.0,,,,-19319.0,,,,,,,,,,,5000.0,,,,1.0,,,,,,,,94780.0,12228.0,,-5000.0,14319.0,-7284.0,-7284.0,,,-7284.0,,146.0,62.0,,,51000.0,7564.0,-7284.0,,,,,,,280.0,,,,,,,,,,,,,,,,,5279.0,133.0,,,,,,,-16105.0,,,,15900.0,40236.0,,,,,,,,250000.0,,1950.0,,12228.0,,351350.0,351.0,,9638650.0
2019-09-30,2019-11-18,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,26995.0,,102094.0,,,,,312034.0,243229.0,,,,69520.0,,,,250000.0,,30000000.0,0.007,30000000.0,30000000.0,30000000.0,213604.0,,,1561.0,8412.0,11763.0,,,,,,,,,,,0.0,,,,,-2946.0,8411.0,27561.0,,,,,,,,,,,,,,,,,,1.0,,,,,126977.0,,,312034.0,,,,,,16205.0,,,,,,,,,35555.0,8411.0,15641.0,,58.0,,,,,-2945.0,,,,,,,,,,,,,,,,,7774.0,24053.0,33250.0,33250.0,,,,,-3664.0,,29122.0,,7974.0,256523.0,,,,,53614.0,146468.0,146468.0,,,422.0,,,,,,,14113672.0
2019-12-31,2020-02-18,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,94990.0,,,,,340447.0,183176.0,,,,36462.0,,36433.0,,250000.0,,30000000.0,0.007,30000000.0,30000000.0,30000000.0,213604.0,,,9589.0,24683.0,11763.0,,,,,,,,,,,0.0,,,,,,24712.0,8964.0,,,,,,,,,,,,,,,,,,,,,,,126977.0,,,340447.0,40000.0,40000.0,,,,-15748.0,,,,,,,,,124021.0,24712.0,-15748.0,,,,,,,,,,,,,,,,,,,,,,,,24683.0,20200.0,33250.0,33250.0,,,,,-8147.0,,20200.0,,7974.0,240775.0,,,,,,,,,,,,,,,,,30000000.0
2020-03-31,2020-06-30,10-K,Landbay Inc,LNBY,CIK0001672572,USD,,,1915.0,325659.0,325659.0,,,5000.0,246800.0,235611.0,11189.0,,17127.0,17127.0,11042.0,17127.0,11042.0,250000.0,,30000000.0,0.001,30000000.0,30000000.0,30000000.0,30000.0,0.61,,11150.0,,,31663.0,31663.0,150774.0,31663.0,,5102.0,,40000.0,,40000.0,0.0,,,,,-9148.0,69912.0,36526.0,,,-33727.0,0.0,,,,,-10313.0,,,,16816.0,56555.0,,,,1.0,,,,,146993.0,,41915.0,246800.0,41915.0,,93614.0,-22828.0,-59744.0,-42717.0,,,,,184.0,,-9331.0,70000.0,,69912.0,-33386.0,9331.0,,,,,,,,,,,,,,,,,,53614.0,,40000.0,33727.0,,,,,11189.0,5000.0,,,146993.0,-150774.0,47676.0,47676.0,,1491.0,204885.0,,,,146648.0,53614.0,146468.0,146468.0,,,,,1915.0,,,,,21118849.0
2020-06-30,2020-08-03,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,1915.0,325659.0,,,,,238939.0,230301.0,,,,29165.0,12038.0,29165.0,12038.0,,,,0.001,30000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,2551.0,,,,57100.0,0.0,,,,,,28883.0,,,,,,,,,,,,,,,-17348.0,,,,2652.0,,,,,146993.0,,59015.0,238939.0,59015.0,,17100.0,17348.0,-22410.0,-27346.0,,,,2358.0,,,3922.0,52652.0,,28883.0,,,,,1270.0,,1270.0,3922.0,,,,,,,,,,,,,,17100.0,,,,,,8638.0,,,,,-175735.0,,,,1491.0,177539.0,,,,,,,,,,,,,,,,,30000000.0
2020-09-30,2020-10-26,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,2232.0,325659.0,,,,,225038.0,218951.0,,,,16707.0,,16707.0,,,,,0.001,30000000.0,30000000.0,30000000.0,30000.0,,,1784.0,,,,,,,,,,,,57100.0,0.0,,,,,,14014.0,1299.0,,,,,,,,,,,,,,,,,,882.0,,882.0,,3535.0,145209.0,,59332.0,225038.0,59332.0,,,,,-11833.0,,,,,,,882.0,53535.0,,14014.0,-12715.0,,,,,,,882.0,,,,,,,,3500.0,,,,,,,,,,,,6087.0,,,,,-189953.0,3083.0,3083.0,,,165706.0,,,,,,,,,,,,,,,,,30000000.0
2020-12-31,2021-01-27,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,,325659.0,,,,209689.0,206154.0,,,11565.0,,,11565.0,,,,,0.001,30000000.0,30000000.0,30000000.0,30000.0,,,620.0,,,,,,,,,,57100.0,,,0.0,,,,,,14249.0,165.0,,,,,,,,,,,,,,,,,,883.0,,883.0,,,144589.0,,57170.0,209689.0,57170.0,,,,,-13187.0,,,,,,,897.0,50000.0,,14249.0,-14084.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,3535.0,,,,,-203140.0,785.0,,,,152519.0,,,,,,,,,,,,70.0,,,,,30000000.0
2021-03-31,2021-06-24,10-K,Landbay Inc,LNBY,CIK0001672572,USD,,,,325659.0,325659.0,,,,69838.0,68854.0,,,6631.0,,,6631.0,-10496.0,,,,0.001,100000000.0,30000000.0,30000000.0,30000.0,,,,,,,74015.0,,74015.0,,10205.0,,66630.0,57100.0,,-0.01,0.21,,,,-1090.0,74120.0,-131765.0,,,,0.0,,,,,,,,,-2404.0,,,,,5280.0,5280.0,,863.0,,11360.0,-133229.0,66630.0,69838.0,66630.0,,26630.0,20401.0,-57527.0,-201677.0,,,,,,,4208.0,50863.0,,74120.0,-205885.0,,,,,,3.0,,,,,0.001,20000000.0,0.0,0.0,,,,,,,26630.0,401.0,401.0,,,,984.0,,1090.0,,11360.0,-352451.0,3863.0,,,,3208.0,,,,,,,,,,,,,,,,,30000000.0
2021-06-30,2021-08-05,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,,325659.0,,,,65552.0,65552.0,,,2456.0,,,2456.0,-4175.0,,,,0.001,100000000.0,30000000.0,30000000.0,30000.0,,,,,,,,,,,984.0,,81100.0,57100.0,,0.0,,,,,,19629.0,,,,,,,,,,,,,,,,,,,873.0,873.0,,1736.0,,11360.0,,81100.0,65552.0,81100.0,,14470.0,,-18645.0,-18756.0,,,,,,,873.0,51736.0,,19629.0,,,,,,,,,,,,0.001,20000000.0,0.0,0.0,,,,,,,14470.0,,,,,,,,,,,-371207.0,,,,,-15548.0,,,,,,,,,,,,,,,,,30000000.0
2021-09-30,2021-11-05,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,,325659.0,,,,57355.0,57355.0,,,46695.0,,,46695.0,,,,,0.001,30000000.0,30000000.0,30000000.0,30000.0,,,700.0,,,,,,,,,,81100.0,57100.0,,0.0,,,,,,9468.0,500.0,,,,,,,,,,,,,,,,,,,,665.0,,,10660.0,,81206.0,57355.0,81206.0,,,,,-8303.0,,,,,,,665.0,,,9468.0,-8968.0,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-379510.0,1200.0,,,,-23851.0,,,,,,,,,,,,,,,,,30000000.0
2021-12-31,2022-01-24,10-Q,Landbay Inc,LNBY,CIK0001672572,USD,,,,325659.0,,,,,46954.0,46954.0,,,36294.0,,,36294.0,,,,,,,,,30000.0,,,,,,,,,,,,,81100.0,57100.0,,0.0,,,,,,10300.0,,,,,,,,,,,,,,,,,,,,,,,,10660.0,,81100.0,46954.0,81100.0,,,,,-10295.0,,,,,,,5.0,,,10300.0,-10300.0,,,,,,5.0,,,,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,-389805.0,,,,,-34146.0,,,,,,,,,,,,,,,,,30000000.0
