end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CustodyFees,DueToRelatedPartiesCurrent,EarningsPerShareBasic,FairValueNetAssetLiability,FairValueOfAssetsAcquired,GainLossOnInvestments,GainLossOnSaleOfInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInReceivables,IncreaseDecreaseInRetainagePayable,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsCurrent,MarketingExpense,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetInvestmentIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OperatingIncomeLoss,OtherExpenses,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleOfTrustAssetsToPayExpenses,ProfitLoss,ReceivablesNetCurrent,RecoveryOfDirectCosts,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TrusteeFees,UnrealizedGainLossOnInvestments,WeightedAverageNumberOfSharesOutstandingBasic
2010-03-31,2010-05-10,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,434000.0,3048000.0,,30289190000.0,,0.0,,,,0.0,,370900000.0,370900000.0,40504446000.0,6452000.0,12556000.0,0.78,,904330000.0,,,,10021000.0,1431000.0,,25125000.0,153197000.0,,,,,,,,,16038000.0,30289190000.0,,14606000.0,,0.0,,,,,,39116000.0,,2959000.0,37685000.0,1197768000.0,37685000.0,1088652000.0,,286007000.0,185653000.0,,-10231294000.0,,,14606000.0,,,,,,,,,,,,,493000.0,,365749000.0
2010-06-30,2010-08-05,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,1453000.0,2821000.0,,37720993000.0,,0.0,,,,0.0,,433900000.0,433900000.0,52792020000.0,7612000.0,15638000.0,0.05,,7438800000.0,,,,11886000.0,3874000.0,,7447119000.0,-15316000.0,,,,,,,42316400.0,,19912000.0,37720993000.0,,17461000.0,,0.0,,,,,,46655000.0,,3622000.0,42780000.0,199074000.0,42780000.0,7607838000.0,,19165000.0,170337467.0,,-15090939000.0,,,17461000.0,,,,,,,,,,,,,499000.0,,400502000.0
2010-09-30,2010-11-22,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2192000.0,425000.0,,37991473000.0,,0.0,,,,0.0,,429200000.0,429200000.0,54809779000.0,37452000.0,16065000.0,4.71,,12968179000.0,,,,59821000.0,6525000.0,,9272395000.0,216341000.0,76622000.0,,,,,,41813100.0,,95304000.0,37991473000.0,,85598000.0,,0.0,,,,,,228735000.0,,17583000.0,170598000.0,5023591000.0,170598000.0,13221048000.0,,1895438000.0,255409000.0,,-16913610000.0,,,85598000.0,,114000000.0,13221048000.0,,,43700000.0,5023591000.0,,,,,,2504000.0,,817205000.0
2010-12-31,2011-02-04,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,1796000.0,8000.0,,38368043000.0,,0.0,,,,0.0,,421700000.0,421700000.0,58049314000.0,9346000.0,18044000.0,2.64,,2521232000.0,,,,18785000.0,1166000.0,,631979000.0,-255409000.0,239998000.0,,,,,,41401100.0,,336468000.0,38368043000.0,,21458000.0,,0.0,,,,,,57238000.0,,4472000.0,56073000.0,3507851000.0,56073000.0,2521232000.0,,1122025000.0,0.0,,-20017739000.0,,,21458000.0,,18800000.0,2521232000.0,,,26300000.0,3507851000.0,,,,,,504000.0,,425404000.0
2011-03-31,2011-05-06,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,799000.0,2375000.0,,36729489000.0,,0.0,,,,0.0,,399200000.0,399200000.0,56017248000.0,8881000.0,17435000.0,4.04,,2258501000.0,,,,17392000.0,761000.0,,-1638554000.0,0.0,-288555000.0,,,,,,38961700.0,,48674000.0,36729489000.0,,20321000.0,,0.0,,,,,,54188000.0,,4172000.0,53427000.0,5248491000.0,53427000.0,2258501000.0,,1639230000.0,0.0,,-19336433000.0,,,20321000.0,,,,,,,,,,,,,493000.0,,406074000.0
2011-06-30,2011-08-05,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,1564000.0,2676000.0,,37785997000.0,,0.0,,,,0.0,,398600000.0,398600000.0,58460240000.0,9587000.0,18006000.0,2.89,,3156853000.0,,,,20646000.0,1637000.0,,1056508000.0,,15935000.0,,,,,,38875100.0,,66246000.0,37785997000.0,,21946000.0,,0.0,,,,,,58524000.0,,4546000.0,56886000.0,3274307000.0,56886000.0,3156853000.0,,1156390000.0,0.0,,-20740489000.0,,,21946000.0,,,,,,,,,,,,,499000.0,,399736000.0
2011-09-30,2011-11-22,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,4201000.0,1017000.0,,42736696000.0,,0.0,,,,0.0,,406800000.0,406800000.0,64137833000.0,50294000.0,21500000.0,26.19,,17521097000.0,,,,109417000.0,8036000.0,,5000632000.0,-255409000.0,443675000.0,,,,,,39928900.0,,547015000.0,42736696000.0,,115309000.0,,0.0,,,,,,307514000.0,,24098000.0,230696000.0,20567866000.0,230696000.0,17521097000.0,,10762917000.0,0.0,,-21948152000.0,,,115309000.0,,115600000.0,17521097000.0,,,138000000.0,20567866000.0,,,,,,2504000.0,,822214000.0
2011-12-31,2012-02-08,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,635000.0,3166000.0,,44526497000.0,,0.0,,,,,,414700000.0,414700000.0,63483582000.0,11244000.0,21162000.0,1.88,,4130878000.0,,,,25714000.0,-1755000.0,,-1789801000.0,,-520297000.0,,,,,,,,24963000.0,44526497000.0,,25734000.0,,0.0,,,,,,68623000.0,,5408000.0,70378000.0,2604322000.0,70378000.0,4130878000.0,,785297000.0,0.0,,-18982048000.0,,,25734000.0,,24500000.0,4130878000.0,,,16600000.0,2604322000.0,,,,,,503000.0,,417038000.0
2012-03-31,2012-05-08,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2297000.0,4750000.0,,46663999000.0,,0.0,,,,0.0,,425700000.0,425700000.0,68742497000.0,11256000.0,21675000.0,0.62,,2822568000.0,,,,21891000.0,3759000.0,,-2137502000.0,,,,,,,,,,28722000.0,46663999000.0,,25813000.0,,0.0,,,,,,68833000.0,,5454000.0,65073000.0,950045000.0,65073000.0,2822568000.0,,261220000.0,0.0,,-22107220000.0,,,25813000.0,,,,,,,,,,,,,497000.0,,422024000.0
2012-06-30,2012-08-06,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,1849000.0,2485000.0,,47010460000.0,,,,,,0.0,,423800000.0,423800000.0,65734019000.0,10785000.0,19799000.0,1.3,,1683457000.0,,,,20503000.0,-4589000.0,,346461000.0,,108576000.0,,,,,,,,132709000.0,47010460000.0,,24718000.0,,0.0,,,,,,65914000.0,,5196000.0,70503000.0,1991332000.0,70503000.0,1683457000.0,,550349000.0,0.0,,-18856268000.0,,,24718000.0,,,,,,,,,,,,,497000.0,,423501000.0
2012-09-30,2012-11-28,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,3954000.0,812000.0,,50726261000.0,,0.0,,,,0.0,,437900000.0,437900000.0,75389813000.0,55651000.0,22038000.0,7.62,,13956415000.0,,,,107818000.0,86000.0,,7989565000.0,0.0,82294000.0,,,,,,,,629395000.0,50726261000.0,,127567000.0,,0.0,,,,,,340176000.0,,26888000.0,271687000.0,8456437000.0,271687000.0,13956415000.0,,3217548000.0,0.0,,-25292947000.0,,,127567000.0,,84700000.0,13956415000.0,,,53600000.0,8456437000.0,,,,,,2503000.0,0.0,845606000.0
2012-12-31,2013-02-05,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,896000.0,4823000.0,,52435608000.0,,0.0,,,,0.0,,448300000.0,448300000.0,72239332000.0,12142000.0,22849000.0,1.21,,3776635000.0,,,,22791000.0,1764000.0,,1709347000.0,0.0,-602591000.0,,,,,,,,28568000.0,52435608000.0,,28006000.0,,0.0,,,,,,74681000.0,,6023000.0,72917000.0,2005056000.0,72917000.0,3776635000.0,,538595000.0,0.0,,-19832292000.0,,,28006000.0,,22600000.0,3776635000.0,,,12200000.0,2005056000.0,,,,,,504000.0,0.0,445261000.0
2013-03-31,2013-05-08,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2015000.0,5378000.0,,47757326000.0,,0.0,,,,0.0,,405700000.0,405700000.0,62727663000.0,10950000.0,19784000.0,4.54,,1439184000.0,,,,16851000.0,-1391000.0,,-4678282000.0,0.0,0.0,,,,,,,,27177000.0,47757326000.0,,25088000.0,,0.0,,,,,,66901000.0,,5282000.0,68293000.0,8062096000.0,68293000.0,1439184000.0,,1946021000.0,0.0,,-14997514000.0,,,25088000.0,,,,,,,,,,,,,493000.0,0.0,429089000.0
2013-06-30,2013-08-08,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2127000.0,3065000.0,,37155146000.0,,0.0,,,,0.0,,322400000.0,322400000.0,37136831000.0,8072000.0,13123000.0,2.72,,818837000.0,,,,9736000.0,-8862000.0,,-10602180000.0,0.0,0.0,,,,,,,,18315000.0,37155146000.0,,18158000.0,,0.0,,,,,,48420000.0,,3533000.0,57281000.0,12371228000.0,57281000.0,818837000.0,,959073000.0,,,,,,18158000.0,,,,,,,,,,,,,499000.0,-840230000.0,352742000.0
2013-09-30,2013-11-26,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2136000.0,1145000.0,,35812777000.0,,0.0,,,,0.0,,301600000.0,301600000.0,38623537000.0,44512000.0,12133000.0,15.21,,7734465000.0,,,,55436000.0,-11390000.0,,-14913484000.0,0.0,-448911000.0,,,,,,,,169094000.0,35812777000.0,0.0,101052000.0,,0.0,0.0,4505517000.0,,,,269468000.0,-229735000.0,20348000.0,241124000.0,26693165000.0,241124000.0,7734465000.0,,5567345000.0,0.0,0.0,-2979854000.0,,,101052000.0,-2979854000.0,51100000.0,7734465000.0,,26693165000.0,187400000.0,26693165000.0,,,,,,2504000.0,840230000.0,690650000.0
2013-12-31,2014-02-07,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,1064000.0,1424000.0,,31066542000.0,,0.0,,,,0.0,,266000000.0,266000000.0,30822045000.0,5980000.0,10257000.0,-1.76,,827161000.0,,137106875.0,,1200000.0,-2669000.0,,-4746235000.0,0.0,78072000.0,,,,,,,,244497000.0,31066542000.0,,13245000.0,,0.0,,-501554000.0,,,,35320000.0,-35320000.0,2346000.0,37989000.0,5147245000.0,37989000.0,827161000.0,,-501554000.0,0.0,,0.0,,,13245000.0,,6800000.0,827161000.0,,,42400000.0,5147245000.0,,,,,,504000.0,-603341000.0,285051000.0
2014-03-31,2014-05-09,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,476000.0,3191000.0,,32336863000.0,,0.0,,,,0.0,,271200000.0,271200000.0,33753176000.0,5575000.0,11059000.0,2.48,,2398426000.0,,,,2024000.0,1981000.0,,1270321000.0,0.0,-69956000.0,,,,,,,,176522000.0,32336863000.0,0.0,12316000.0,,0.0,0.0,663096000.0,,,,32842000.0,-32842000.0,2142000.0,30862000.0,1723226000.0,30862000.0,2398426000.0,,663096000.0,0.0,0.0,-1592835000.0,,,12316000.0,,,,,,,,,,,,,493000.0,603341000.0,267259000.0
2014-06-30,2014-08-08,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,247000.0,4160000.0,,31344932000.0,,0.0,,,,0.0,,264000000.0,264000000.0,33415479000.0,5558000.0,9941000.0,0.26,,941382000.0,,,,1572000.0,-378000.0,,-1232421000.0,240490000.0,-161796000.0,,,,,,,,14348000.0,31344932000.0,0.0,12230000.0,,0.0,0.0,67953000.0,,,,32614000.0,-32614000.0,2097000.0,32991000.0,2079582000.0,32991000.0,1181872000.0,,67953000.0,240490000.0,,-2084895000.0,,,12230000.0,,,,,,,,,,,,,499000.0,0.0,263349000.0
2014-09-30,2014-11-25,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,315000.0,3758000.0,0.0,30250898000.0,30096869000.0,0.0,,,,0.0,,257300000.0,257300000.0,30096869000.0,28335000.0,9588000.0,-2.58,,5893107000.0,0.0,,0.0,7808000.0,-1753000.0,,-5426370000.0,0.0,-13312000.0,,,,,30250898000.0,,,154029000.0,30250898000.0,0.0,62525000.0,,0.0,0.0,-690267000.0,0.0,,,166736000.0,-133756000.0,10847000.0,135509000.0,11209535000.0,135509000.0,5893107000.0,135509000.0,-690267000.0,0.0,0.0,0.0,,,62525000.0,0.0,47200000.0,5893107000.0,,11209535000.0,91500000.0,11209535000.0,30096869000.0,0.0,116.21,257300000.0,257300000.0,2504000.0,-954508000.0,535427000.0
2014-12-31,2015-02-06,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,3757000.0,3558000.0,,27464292000.0,27324555000.0,0.0,,,,,,,,,4910000.0,5705000.0,-1.91,27324555000.0,986305000.0,-440989000.0,107761185.0,-899000.0,,-641000.0,,,,,,,,28274774000.0,27464292000.0,,1.0051,139737000.0,,0.0,10928000.0,,0.0,0.0,-469526000.0,-28537000.0,-139737000.0,-0.0051,31685000.0,-28537000.0,4415000.0,29178000.0,,29178000.0,,29178000.0,,0.0,3148000.0,,,,10928000.0,,8500000.0,986305000.0,,3289093000.0,28600000.0,3289093000.0,,0.0,113.58,237200000.0,237200000.0,504000.0,-333228000.0,245376000.0
2015-03-31,2015-05-06,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2015000.0,1905000.0,,28135366000.0,28123316000.0,0.0,,,,,,,,,4926000.0,8130000.0,-1.94,28123316000.0,3302767000.0,-455804000.0,,-815000.0,,-970000.0,,,,,,,,29341052000.0,28135366000.0,,1.0004,12050000.0,,0.0,9811000.0,,,0.0,-484667000.0,-28863000.0,-12050000.0,-0.0004,29811000.0,-28863000.0,4770000.0,29833000.0,,29833000.0,,29833000.0,,0.0,948000.0,,,,9811000.0,,,,,,,,,0.0,113.66,246900000.0,246900000.0,493000.0,-395204000.0,250387000.0
2015-06-30,2015-07-31,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,2167000.0,620000.0,,26852191000.0,26773744000.0,0.0,,,,,,,,,4761000.0,8302000.0,-1.55,26773744000.0,1000841000.0,-347521000.0,,-765000.0,,-961000.0,,,,,,,,28339027000.0,26852191000.0,,1.0029,78447000.0,,0.0,11156000.0,,,0.0,-375173000.0,-27652000.0,-78447000.0,-0.0029,27652000.0,-27652000.0,80000.0,28613000.0,,28613000.0,,28613000.0,,0.0,0.0,,,,11156000.0,,,,,,,,,0.0,112.37,238500000.0,238500000.0,499000.0,-281150000.0,242365000.0
2015-09-30,2015-11-24,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,10000.0,402000.0,,24620671000.0,24612170000.0,0.0,0.0,,,,,,,,16193000.0,8089000.0,-17.009999999999998,24612170000.0,6447849000.0,-3906062000.0,,-7861000.0,0.0,-5160000.0,-5160000.0,0.0,0.0,0.0,,,,27103546000.0,24503318000.0,,0.9956,8501000.0,,0.0,35377000.0,106.68,,0.0,-4041038000.0,-134976000.0,108852000.0,0.0044,139072000.0,-134976000.0,9805000.0,115174000.0,0.0,115174000.0,0.0,115174000.0,,117353000.0,4096000.0,,,,76025000.0,,55100000.0,6447849000.0,,9247346000.0,81700000.0,,,0.0,106.86,230700000.0,230700000.0,1672000.0,-3236366000.0,471353000.0
2015-12-31,2016-01-29,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,0.0,341000.0,,21979062000.0,21930606000.0,0.0,,,,,,,,,0.0,7465000.0,-5.11,21930606000.0,1511823000.0,-1119195000.0,,-2820000.0,,-695000.0,-695000.0,,,,,,,25333181000.0,21979062000.0,,1.0022,48456000.0,,0.0,0.0,,,0.0,-1143013000.0,-23818000.0,-48456000.0,,23818000.0,-23818000.0,0.0,24513000.0,,24513000.0,,24513000.0,,0.0,0.0,,,,23818000.0,,14100000.0,1511823000.0,,3050374000.0,29000000.0,,,0.0,101.46,215800000.0,215800000.0,0.0,-753891000.0,223621000.0
2016-03-31,2016-04-29,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,0.0,172000.0,,32831791000.0,32572402000.0,0.0,,,,,,,,,0.0,10930000.0,15.51,32572402000.0,7848145000.0,3824259000.0,,-953000.0,,3296000.0,3296000.0,,,,,,,32291686000.0,32760852000.0,,1.0058,259389000.0,,0.0,0.0,118.23,,0.0,3796702000.0,-27557000.0,-188450000.0,,27557000.0,-27557000.0,0.0,24261000.0,,24261000.0,,24261000.0,,70939000.0,0.0,,,,27557000.0,,,,,,,,,0.0,117.64,275500000.0,275500000.0,0.0,3823285000.0,244855000.0
2016-06-30,2016-08-02,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,0.0,0.0,,40342538000.0,40330372000.0,0.0,,,,,,,,,0.0,12166000.0,8.06,40330372000.0,6800248000.0,2356357000.0,,790000.0,,1064000.0,1064000.0,,,,-0.12,-0.004,,37435744000.0,40229037000.0,,0.9975,12166000.0,,0.0,0.0,126.11,,0.0,2321947000.0,-34410000.0,101335000.0,0.0025,34410000.0,-34410000.0,0.0,33346000.0,,33346000.0,,33346000.0,,113501000.0,0.0,,,,34410000.0,,,,,,,,,0.0,126.47,319800000.0,319800000.0,0.0,2324127000.0,287989000.0
2016-09-30,2016-11-28,10-K,SPDR GOLD TRUST,GLD,CIK0001222333,USD,0.0,0.0,,40357092000.0,40293447000.0,0.0,0.0,,0.0,,,,,,0.0,13184000.0,18.28,40293447000.0,20949847000.0,5095577000.0,,4211000.0,0.0,4683000.0,4683000.0,0.0,0.0,0.0,-0.47,-0.004,40357092000.0,37872834000.0,40357092000.0,,1.0016,63645000.0,,0.0,0.0,126.15,0.0,0.0,4927210000.0,-168367000.0,-63645000.0,0.0016,168367000.0,-168367000.0,0.0,122393000.0,0.0,122393000.0,0.0,122393000.0,4951423000.0,0.0,0.0,,,,168367000.0,,174700000.0,20832493000.0,86000000.0,10102639000.0,86000000.0,,,0.0,125.64,319400000.0,319400000.0,0.0,4775451000.0,592172000.0
2016-12-31,2017-01-27,10-Q,SPDR GOLD TRUST,GLD,CIK0001222333,USD,,,,30683350000.0,30628551000.0,0.0,,,,,,,,,,10617000.0,-16.1,30628551000.0,1598340000.0,-4885379000.0,,68000.0,,,-2567000.0,,,,-0.12,-0.004,30683350000.0,32878643000.0,30683350000.0,,1.0018,54799000.0,,0.0,,110.45,,0.0,-4921297000.0,-35918000.0,-54799000.0,0.0018,35918000.0,,,38485000.0,,,,38485000.0,,,,,,,35918000.0,,13200000.0,1598340000.0,,6341939000.0,55300000.0,,,0.0,109.61,277300000.0,277300000.0,,-4679551000.0,305599000.0
