end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,Assets,AssetsCurrent,AssetsFairValueDisclosure,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,CostOfRevenue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FederalIncomeTaxExpenseBenefitContinuingOperations,ForeignIncomeTaxExpenseBenefitContinuingOperations,FurnitureAndFixturesGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesFairValueDisclosure,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,SalesRevenueServicesNet,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedAndRetiredDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2019-06-30,2021-03-01,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,74624.0,,,21645.0,,,1248.0,1248.0,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,31938.0,31938.0,31938.0,,,45661.0,,0.0,0.21,,,,55444.0,,-55444.0,,-11643.0,11643.0,54195.0,,,,-1249.0,120285.0,1248.0,120285.0,,,,,-55444.0,,,152087.0,,,,,,,,1248.0,,,,,,-152087.0,,,,,,,,,-119037.0,,,,,,,11643.0,11405000.0,
2019-09-30,2021-03-01,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,91169.0,,,21645.0,,,,,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,35675.0,35675.0,35675.0,,,45661.0,,0.0,,,,,17793.0,,-17793.0,,,,,,,,,136830.0,,136830.0,,,,,-17793.0,,,169880.0,,,,,,,,,,,,,,-169880.0,,,,,,,,,-136830.0,,,,,,,,11405000.0,
2019-12-31,2021-03-01,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,107838.0,,,21645.0,,,0.0,,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,39175.0,39175.0,39175.0,,,45661.0,,0.0,,,,,16669.0,,-16669.0,,,,,,,,,153499.0,0.0,153499.0,,,,,-16669.0,,,184052.0,,,,,,,,,,,,,,-186549.0,,,,,,,,,-153499.0,,,,,,,,11405000.0,
2020-03-31,2021-03-16,10-K,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,131427.0,,21645.0,21645.0,,,0.0,,,,,,,,,,,0.001,2980000000.0,11405000.0,11405000.0,11405.0,,,,44129.0,44129.0,44129.0,,,45661.0,,0.0,0.21,,,,113495.0,,-113495.0,,-23834.0,23834.0,110998.0,,,,-2497.0,177088.0,0.0,177088.0,,,,,-113495.0,,,210138.0,,,,0.001,20000000.0,,,,,,,,,-210138.0,,,,,,,,,-177088.0,,,,,,,23834.0,11405000.0,
2020-06-30,2021-04-02,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,138676.0,,,21645.0,,,0.0,,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,45651.0,45651.0,45651.0,,,45661.0,,0.0,0.21,,,,7249.0,,-7249.0,,-1522.0,1522.0,7249.0,,,,,184337.0,0.0,184337.0,,,,,-7249.0,,,217387.0,,,,,,,,,,,,,,-217387.0,,,,,,,,,-184337.0,,,,,,,1522.0,11405000.0,
2020-09-30,2021-04-02,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,152648.0,,,21645.0,,,,,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,48585.0,48585.0,48585.0,,,45661.0,,0.0,,,,,13972.0,,-13972.0,,,,,,,,,198309.0,,198309.0,,,,,-13972.0,,,231359.0,,,,,,,,,,,,-13972.0,,-231359.0,,,,,,,,,-198309.0,,,,,,,,11405000.0,
2020-12-31,2021-04-02,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,88453.0,,,21645.0,,,,,,,,,,,,,,0.001,75000000.0,11405000.0,11405000.0,11405.0,,,,53910.0,53910.0,53910.0,,,135209.0,,0.0,,,,,25353.0,,-25353.0,,,,,,,,,223662.0,,223662.0,,,,,-25353.0,,,256712.0,,,,,,,,,,,,-25353.0,,-256712.0,,,,,,,,,-223662.0,,,,,,,,11405000.0,
2021-03-31,2021-07-12,10-K,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,18070.0,,21645.0,,,,832.0,832.0,,,,,,,,,,0.001,2980000000.0,11405000.0,11405000.0,11405.0,,,,61180.0,61180.0,61180.0,,,241043.0,,-0.01,0.21,17051.0,,,81193.0,,-81193.0,,-34102.0,34102.0,-113357.0,,,,832.0,259113.0,832.0,259113.0,,195382.0,,-195382.0,-81193.0,,,291331.0,,,,0.001,20000000.0,0.0,0.0,832.0,,,195382.0,,,-291331.0,,,,,,,,,-258281.0,,,,,,,17051.0,11405000.0,
2021-06-30,2021-08-23,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,20614.0,,21645.0,,,0.0,,,0.0,,,,,,,,,0.001,2980000000.0,11405000.0,11405000.0,11405.0,,,,67386.0,67386.0,67386.0,,,267220.0,,0.0,0.21,,,,29553.0,,-29553.0,,-6206.0,6206.0,2544.0,,,,-832.0,287834.0,,287834.0,0.0,26177.0,,-26177.0,-29553.0,,,320884.0,,,,0.001,20000000.0,0.0,0.0,,,,26177.0,,,-320884.0,,,,,,,,,-281804.0,,,,,,,6206.0,11405000.0,
2021-09-30,2021-11-22,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,10220.0,,21645.0,,,,,,0.0,,,,,,,,,0.001,2980000000.0,11405000.0,11405000.0,11405.0,,,,73263.0,73263.0,73263.0,,,305651.0,,0.0,,,,,28037.0,,-28037.0,,,,,,,,,315871.0,,315871.0,0.0,,,,-28037.0,,,348921.0,,,,0.001,20000000.0,0.0,0.0,,,,,-34067.0,,-348921.0,,,,,,,,,-315871.0,,,,,,,,11405000.0,
2021-12-31,2022-02-22,10-Q,BYLOG GROUP CORP.,BYLG,CIK0001668082,USD,,21841.0,,21645.0,,,,,,,,,,,,,,,0.001,2980000000.0,11405000.0,11405000.0,11405.0,,,,79128.0,79128.0,79128.0,,,321961.0,,0.0,,,,,27931.0,,-27931.0,,,,,,,,,343802.0,,343802.0,,,,,-27931.0,,,376852.0,,,,0.001,20000000.0,0.0,0.0,,,,,-27931.0,,-376852.0,,,,,,,,,-343802.0,,,,,,,,11405000.0,
