end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableCurrent,AccountsPayableInterestBearingInterestRate,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BankOverdrafts,BankOwnedLifeInsuranceIncome,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConversionOfStockAmountIssued1,ConversionOfStockSharesConverted1,ConversionOfStockSharesIssued1,ConvertibleNotesPayable,ConvertibleSubordinatedDebtNoncurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityMethodInvestments,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecuritiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,PaymentsForDeposits,PaymentsForLoans,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PreferredStockValueOutstanding,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromCollectionOfAdvanceToAffiliate,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromIssuanceOfWarrants,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,RepaymentsOfBankDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,TreasuryStockShares,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-10-31,2012-12-13,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,8757.0,,4228717.0,,,,7083.0,7083.0,,,7083.0,,7083.0,,,0.0,,,0.0001,100000000.0,2390083.0,2390083.0,239.0,,,,,,,,,,,,,,,,,,,60000.0,,0.0,,,,,,,5420.0,,,,,,,,,,,,,,,,,,,68757.0,7083.0,68757.0,,,,,,-5420.0,,,-5420.0,,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,,,-5420.0,,,-4237676.0,,1395000.0,,,-61674.0,,,,,,,24142.0,52954.0,,,2390081.0
2013-01-31,2013-03-15,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,11224.0,,4228717.0,,,,333.0,333.0,,,333.0,,333.0,,,0.0,,,0.0001,100000000.0,2390083.0,2390083.0,239.0,,,,,,,,,,,,,,,,,,,60000.0,,0.0,,,,,,,9218.0,,,,,,,,,,,,,,,,,,,71224.0,333.0,71224.0,,,,,,-9218.0,,9217.0,-9217.0,,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,,,,,,-4246893.0,,,,-70891.0,,,,,,,,24142.0,52954.0,,,2390081.0
2013-04-30,2013-08-02,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,18861.0,,4228717.0,,,,9218.0,9218.0,,,9218.0,,9218.0,4875.0,,,,,0.0001,100000000.0,2390083.0,2390083.0,239.0,,,,1395000.0,,,,,,,,,,,,,,210142.0,75000.0,,-0.01,0.0,0.35,-0.4,,0.05,,34942.0,,,,,,,,4817.0,,,,,,,,,,,93861.0,9218.0,93861.0,,35000.0,,,-30125.0,-34942.0,,34942.0,-34942.0,0.0,793000.0,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,35000.0,,,,,-4050503.0,,,,-84643.0,,,,,,,,24142.0,52954.0,,,2390083.0
2013-07-31,2013-09-16,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,16799.0,,4228717.0,,,,4187.0,4187.0,,,4187.0,,4187.0,-5031.0,,,,,0.0001,100000000.0,2390083.0,2390083.0,239.0,,,,,,,,,,,,,,,,,,218111.0,80000.0,,0.0,,,,,,,7968.0,,,,,,,,-2063.0,,,,,,,,,,,96799.0,4187.0,96799.0,,5000.0,,,-10031.0,-7968.0,,,0.0,0.0,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,10000.0,,,,5000.0,-4050503.0,,,,-92612.0,,,,,,,,24142.0,52954.0,,,2390083.0
2013-10-31,2013-12-16,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,15474.0,,4228717.0,,,,1039.0,1039.0,,,1039.0,,1039.0,,,,,,0.0001,100000000.0,2390081.0,2390081.0,239.0,,,,,,,,,,,,,,,,,,225934.0,86000.0,,0.0,,,,,,,7823.0,,,,,,,,,,,,,,,,,,,101474.0,1039.0,101474.0,,,,,,-7823.0,,,,,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,,,,,,-4050503.0,,,,-100435.0,,,,,,,,2.0,52954.0,,,2390081.0
2014-01-31,2014-03-17,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,17788.0,,4228717.0,,,,2010.0,2010.0,,,2010.0,,2010.0,,,,,,0.0001,100000000.0,2390083.0,2390081.0,239.0,,,,,,,,,,,,,,,,,,236278.0,95000.0,,0.0,,,,,,,10344.0,,,,,,,,,,,,,,,,,,,112788.0,2010.0,112788.0,,,,,,-10344.0,,,,,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,,,,,,-4050503.0,,,,-110779.0,,,,,,,,2.0,52954.0,,,2390081.0
2014-04-30,2014-07-29,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,20333.0,,4228717.0,,,,1990.0,1990.0,,,1990.0,,1990.0,-7228.0,,,,,0.0001,100000000.0,2390083.0,2390081.0,239.0,,,,,,,,,,,,,0.0,,,,,243842.0,100000.0,,-0.01,0.0,0.35,-0.4,,0.05,,33700.0,,,,,,,,1472.0,,,,,,,,,,,120333.0,1990.0,120333.0,,25000.0,,,-32228.0,-33700.0,,33700.0,-33700.0,0.0,827000.0,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,39000.0,-14000.0,,,,-4294345.0,,,,-118343.0,,,,,,,,2.0,52954.0,,,2390081.0
2014-07-31,2014-09-16,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,12299.0,,4228717.0,,,,7260.0,7260.0,,,7260.0,,7260.0,5270.0,,,,,0.0001,100000000.0,2390083.0,2390081.0,239.0,,,,,,,,,,,,,,,,,,,120000.0,,0.0,,,,,,,6696.0,,,,,,,,-8034.0,,,,,,,,,,,132299.0,7260.0,132299.0,,20000.0,,,-14730.0,-6696.0,,,-6696.0,0.0,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,20000.0,,,,,-4301041.0,,,,-125039.0,,,,,,,,2.0,52954.0,,,2390083.0
2014-10-31,2014-12-15,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,17374.0,,4228717.0,,,,4429.0,4429.0,,,4429.0,,4429.0,,,,,,0.0001,100000000.0,2390083.0,2390081.0,239.0,,,,,,,,,,,,,,,,,,,125000.0,,-0.01,,,,,,,12906.0,,,,,,,,,,,,,,,,,,,142374.0,4429.0,142374.0,,,,,,-12906.0,,,-12906.0,0.0,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,,,,,,-4313947.0,,,,-137945.0,,,,,,,,2.0,52954.0,,,2390081.0
2015-01-31,2015-03-25,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,24904.0,,4228717.0,,,,2966.0,2966.0,,,2966.0,,2966.0,,,,,,0.0001,100000000.0,2390083.0,2390081.0,239.0,,,,,,,,,,,,,,,,,,,127000.0,,0.0,,,,,,,10993.0,,,,,,,,,,,,,,,,,,,151904.0,2966.0,151904.0,,,,,,-10993.0,,,-10993.0,0.0,,,,,0.0001,10000000.0,0.0,,,,,,,,,,,,,,,,,,-4324940.0,,,,-148938.0,,,,,,,,2.0,52954.0,,,2390081.0
2015-04-30,2015-10-23,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,14068.0,,4246217.0,,,,516.0,516.0,,,,,516.0,-1474.0,,,,,0.0001,100000000.0,2390083.0,2390081.0,239.0,,,,,17500.0,,,,,,0.01,0.06,17500.0,,,,,,127000.0,,-0.02,0.0,0.35,-0.4,,0.05,,39709.0,,,,,,,,-6265.0,,,,,,,,,,,141068.0,516.0,141068.0,,44500.0,,,-45974.0,-39709.0,,,-39709.0,0.0,867000.0,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,17500.0,17500.0,,27000.0,,,,,-4334054.0,,,,-140552.0,,,,,,,,2.0,52954.0,,,2390081.0
2015-07-31,2015-11-16,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,30933.0,,4246217.0,,,507.0,516.0,516.0,,,,,516.0,,,,,,0.0001,100000000.0,2390083.0,2390081.0,239.0,,,,,,507.0,,,,,,,16993.0,,,,,,127288.0,,-0.01,,,,,,,16865.0,,,,,,,,16865.0,,,-288.0,,,,,795.0,,,158728.0,516.0,158221.0,,,,,,-17660.0,,,-16865.0,0.0,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,,-4351714.0,,,,-158212.0,,,,,,,,2.0,52954.0,,,2390081.0
2015-10-31,2016-01-13,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,829.0,,4408217.0,,,,1654.0,1654.0,,,,,516.0,,,,,,,100000000.0,2390083.0,2390081.0,239.0,,,,,,4638.0,,,,,,,177039.0,,,,,,,,0.0,,,,,,,3758.0,,,,,,,,,,,,,,,,3843.0,,,5467.0,1654.0,829.0,,,,,,-7601.0,,,-3758.0,0.0,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,,-4359315.0,,,,-3813.0,,,,,,,,2.0,52954.0,,,2390081.0
2016-01-31,2016-03-21,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,4779.0,,4628907.0,,,,,,,,,,,,,,,,0.0001,100000000.0,22340083.0,22390081.0,2234.0,,,,,,,,,,,,,,,,,,,4256.0,,-0.02,,,,,,,29632.0,,,,,,,,,,,,,,,,198275.0,,,9035.0,,9035.0,,,,,,-227907.0,,,-29632.0,0.0,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,-4587222.0,,,,-9035.0,,,,,,,,2.0,52954.0,,,14316711.0
2016-04-30,2016-08-15,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,5242.0,,5242.0,,4640351.0,,,199500.0,,,,,,,,-516.0,,,,,0.0001,100000000.0,22340083.0,22340081.0,2234.0,,,,,,,,,199500.0,19950000.0,,,0.0,,,,,,11697.0,,-0.03,0.0,0.35,-0.4,0.5,0.05,,69603.0,,,,,,,,-8826.0,,,,3413.0,,,,202913.0,,,16939.0,,16939.0,,77913.0,,,-78429.0,-272516.0,,,-69603.0,0.0,940000.0,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,55000.0,,,23141.0,-228.0,,,228.0,-4606570.0,,,,-16939.0,,,,,,,,2.0,52954.0,,,10293770.0
2016-07-31,2016-09-14,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,17963.0,,4640351.0,,,,,,,,,,,,,,,,0.0001,100000000.0,22340083.0,22340081.0,2234.0,,,,,,,,,,,,,,,,,,,34902.0,,0.0,,,,0.5,,,35926.0,,,,,,,,12721.0,,,,,,,,,,,52865.0,,52865.0,,23205.0,,,-23205.0,-35926.0,,,-35926.0,0.0,,,,,0.0001,10000000.0,0.0,0.0,,,,,24465.0,,,,,,,23205.0,,,,,-4642496.0,,,,-52865.0,,,,,,,,2.0,52954.0,,,2340081.0
2016-10-31,2016-12-15,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,892.0,,,,4640351.0,,,,,,,,,,,,,,,,0.0001,100000000.0,22340083.0,22340081.0,2234.0,,,,,,,,,,,,,,,,,,,78182.0,,0.0,,,,,,,26209.0,,,,,,,,,,,,,,,,,,,79074.0,,79074.0,,,,,,-26209.0,,,-26209.0,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,-4668705.0,,,,-79074.0,,,,,,,,2.0,52954.0,,,22340081.0
2017-01-31,2017-03-21,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,7024.0,,,,4640351.0,,,,,,,,,,,,,,,,0.0001,100000000.0,22340083.0,22340081.0,2234.0,,,,,,,,,,,,,,,,,,,101693.0,,0.0,,,,,,,29643.0,,,,,,,,,,,,,,,,,,,108717.0,,108717.0,,,,,,-29643.0,,,-29643.0,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,-4698348.0,,,,-108717.0,,,,,,,,2.0,52954.0,,,22340081.0
2017-04-30,2017-08-14,10-K,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,519.0,,519.0,,4640351.0,,,,,,,,,,0.0,,,,,,0.0001,100000000.0,22340083.0,22340081.0,2234.0,199500.0,,19950000.0,,,,,,,,,,,,,,,,141677.0,,-0.01,0.0,0.35,-0.4,0.5,0.05,,125257.0,,,,,,,,-4723.0,,,,,,,,,,,142196.0,,142196.0,,129980.0,,,-129980.0,-125257.0,,,-125257.0,,1265000.0,,,,0.0001,10000000.0,0.0,0.0,,,,,141677.0,,,,,,,129980.0,,,,,-4731827.0,,,,-142196.0,,,,,,,,2.0,52954.0,,,22340081.0
2017-07-31,2017-09-15,10-Q,PREVENTION INSURANCE COM INC,PVNC,CIK0001134982,USD,,,6000.0,,4640351.0,,,,15075.0,15075.0,,,,,,,,,,,0.0001,100000000.0,22340083.0,22340081.0,2234.0,,,,,,,,,,,,,,,,,,,178080.0,,0.0,,,,0.5,,,26809.0,,,,,,,,5481.0,5481.0,,,,,,15075.0,,,,184080.0,15075.0,184080.0,,36403.0,,,-36403.0,-26809.0,,,-26809.0,,,,,,0.0001,10000000.0,0.0,0.0,,,,15075.0,18575.0,,,,,,,36403.0,,,,,-4758636.0,,,,-169005.0,,,,,,,,2.0,52954.0,,,2340081.0
