end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BankOverdrafts,CapitalizedComputerSoftwareAccumulatedAmortization,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleDebtCurrent,ConvertibleNotesPayableCurrent,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentDecreaseForgiveness,DebtInstrumentIncreaseDecreaseOtherNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositAssets,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectOfExchangeRateOnCashAndCashEquivalents,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossRealized,ForeignCurrencyTransactionGainLossUnrealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidRent,InterestExpense,InterestIncomeOperating,InterestPaid,InterestPaidNet,InterestPayable,InterestPayableCurrent,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityCommitmentFeePercentage,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsForLoans,PaymentsToAcquireAssetsInvestingActivities,ProceedsFromCollectionOfNotesReceivable,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,RepaymentsOfDebt,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2012-05-31,2013-08-29,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,129249.0,627525.0,-1545.0,1620797.0,,,,8468.0,8468.0,,,8468.0,8468.0,,11451.0,,0.001,-170.0,75000000.0,17652082.0,,,17652.0,-568787.0,,,334570.0,344570.0,,,,,,-1061400.0,1061400.0,1475.0,,-0.03,,6809.0,1772.0,978.0,978.0,,78134.0,,213000.0,-19153.0,243999.0,,12702.0,,12701.0,,-271.0,-12701.0,1.0,,,,5326.0,18541.0,,8468.0,1195230.0,,,332673.0,,-328031.0,-569765.0,433130.0,,,558884.0,-558884.0,,1475.0,,-10881.0,,,,,,,344999.0,,,,6960.0,-19286.0,,36331.0,,,240596.0,-2823496.0,,65282.0,,-1186762.0,344570.0,420000.0,,,,344570.0,,345000.0,,,,,17652082.0,
2012-08-31,2014-03-31,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,139705.0,,-2127.0,1645747.0,,,,66719.0,15611.0,,,15611.0,15610.0,,7142.0,,0.001,-120.0,75000000.0,17652082.0,,,17652.0,-69938.0,,,,,,,,,,,,,,-0.01,,-582.0,-2122.0,-582.0,,,9948.0,,,10456.0,53992.0,,,,759.0,,,-760.0,,,,,6087.0,3024.0,,66719.0,1298420.0,,,62981.0,-51108.0,-4149.0,-69356.0,471111.0,,,66474.0,-66474.0,,51108.0,,-2882.0,,,,-51108.0,,,25000.0,,,,37981.0,,,,,,,-2892852.0,,21016.0,,-1231701.0,,50000.0,,,,,,25000.0,,,,,17652082.0,
2012-11-30,2014-03-31,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,148588.0,713075.0,-1931.0,1705628.0,,,,104865.0,20000.0,,,20000.0,20000.0,,,,0.001,,75000000.0,17652082.0,,,17652.0,-57214.0,,,,,,,,,,,,,,0.0,,,1371.0,196.0,,,7590.0,,,,,,,,,,,-1069.0,1.0,,,,7155.0,1368.0,,104865.0,1333781.0,,,,,,-57411.0,464961.0,,,57713.0,-57713.0,,84865.0,,303.0,,,,,,,,,,,,,,,,,,-2950263.0,,18244.0,,-1228914.0,,,,,,,,,,,,,16652082.0,
2013-02-28,2014-03-31,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,152714.0,769103.0,-1509.0,1705628.0,,,,118467.0,19254.0,,,19254.0,19255.0,,,,0.001,,75000000.0,17652082.0,,,17652.0,-44587.0,,,,,,,,,,,,,,0.0,,,2919.0,422.0,,,6473.0,,,,,,,,,,,-956.0,1.0,,,,8113.0,,,118467.0,1391968.0,,,,,,-45009.0,462038.0,,,46973.0,-46973.0,,99213.0,,1964.0,,,,,,,,,,,,,,,,,,-2995272.0,,,,-1273501.0,,,,,,,,,,,,,16652082.0,
2013-05-31,2014-04-01,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,156691.0,817094.0,-1240.0,1705628.0,,,,115402.0,13251.0,,,13251.0,13251.0,,4783.0,,0.001,,75000000.0,17652082.0,,,17652.0,-225399.0,,,,,,,,,,-1145700.0,1145700.0,,,-0.01,,305.0,4072.0,305.0,305.0,,27025.0,,84900.0,220677.0,189570.0,,,,3662.0,,,-3664.0,1.0,,,,8992.0,4392.0,,115402.0,1442563.0,,,111657.0,-102151.0,-5028.0,-225705.0,459786.0,,,226113.0,-226113.0,,102151.0,,408.0,,,,-102151.0,,,85001.0,,,,26656.0,,,16251.0,,,,-3049201.0,,39260.0,,-1327164.0,,,,,,,,85001.0,,,,17652082.0,17652082.0,
2013-08-31,2014-04-02,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,155750.0,,-1373.0,1705628.0,,,,113775.0,11624.0,,,11624.0,11264.0,,-1627.0,,0.001,,75000000.0,17652082.0,,,17652.0,-69810.0,,,,,,,,,,,,,,0.0,,-1076.0,5785.0,-133.0,,,4611.0,,,-5397.0,73757.0,,,,766.0,,,-766.0,,,,,9757.0,,,113775.0,1510746.0,,,,,-551.0,-69677.0,455241.0,,,74695.0,-74695.0,,102151.0,-5018.0,5784.0,,,,,,,,,,,,,,18706.0,,,21378.0,-3118878.0,,,,-1396971.0,,,,,,,,,,,,,16652082.0,
2013-11-30,2014-04-02,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,155644.0,923713.0,-1074.0,1705628.0,,,,112885.0,10734.0,,,10734.0,10735.0,,,,0.001,,75000000.0,17652082.0,,,17652.0,-33258.0,,,,,,,,,,,,,,0.0,,,1764.0,299.0,,,2535.0,,,,,,,,,,,-523.0,,,,,10280.0,,,112885.0,1543114.0,,,,,,-35321.0,453477.0,,,34798.0,-34798.0,,102151.0,-523.0,1241.0,,,,,,,,,,,,,,1000.0,,,1263.0,-3152435.0,,,,-1430229.0,,,,,,,,,,,,,16652082.0,
2014-02-28,2014-04-21,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,157118.0,957666.0,-1074.0,1705628.0,,,,113535.0,11384.0,,,11384.0,11384.0,,,,0.001,,75000000.0,17652082.0,,,17652.0,-33702.0,,,,,,,,,,,,,,0.0,,,1764.0,299.0,,,4778.0,,,,,,,,,,,-987.0,,,,,11269.0,,,113535.0,1579529.0,,,,,,-35765.0,453476.0,,,34778.0,-34778.0,,102151.0,-987.0,-987.0,,,,,,,,,,,,,,,,,,-3188200.0,,,,-1465994.0,,,,,,,,,,,,,16652082.0,
2014-05-31,2014-08-29,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,183717.0,961441.0,14138.0,1705628.0,,,,110683.0,8532.0,,,8532.0,8532.0,,-4719.0,,0.001,,75000000.0,17652082.0,,,17652.0,-166326.0,,,,,,,,,,-1211600.0,1211600.0,,,-0.01,,15378.0,,15378.0,15378.0,31090.0,15419.0,,65900.0,119438.0,,,,,,,,-3504.0,1.0,,,,12496.0,,,110683.0,1604173.0,,,11079.0,,-31176.0,-181704.0,446519.0,,,209291.0,-209291.0,,102151.0,,31090.0,,,,,,,,,,,25000.0,,,28706.0,-13921.0,,39666.0,-3230908.0,,,,-1493490.0,,,,,,,,,,,,17652082.0,,
2014-08-31,2014-10-10,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,181199.0,994257.0,14030.0,1705628.0,,8513.0,,98773.0,5135.0,,-8513.0,5135.0,5135.0,,-3289.0,,0.001,,75000000.0,17652082.0,,,17652.0,-43303.0,,,,,,,,,,,,,,0.0,,-108.0,763.0,-871.0,,,3750.0,0.0,,-2403.0,32816.0,,,,980.0,0.0,0.0,-980.0,,0.0,,,13476.0,0.0,,98773.0,1635565.0,,,0.0,0.0,-3289.0,-43195.0,446633.0,,,42263.0,-42263.0,,93638.0,-932.0,48.0,,,,,,,,,,,,,,,,,,-3274102.0,,,,-1536792.0,,,,,,,,,,,,,17652082.0,
2014-11-30,2015-01-20,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,180794.0,1025838.0,20325.0,1705628.0,,8512.0,,89534.0,4408.0,,-17025.0,4408.0,4408.0,,,,0.001,,75000000.0,17652082.0,,,17652.0,-34968.0,,,,,,,,,,,,,,0.0,,,5424.0,871.0,,,2171.0,,,,,,,,,,,-580.0,,,,,14056.0,,,89534.0,1661295.0,,,,,,-41263.0,440607.0,,,40683.0,-40683.0,,85126.0,-580.0,0.0,,,,,,,,,,,,,,0.0,,,,-3315365.0,,,,-1571760.0,,,,,,,,,,,,,17652082.0,
2015-02-28,2015-04-20,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,177916.0,1057337.0,44284.0,1705628.0,,8512.0,,79593.0,2980.0,,-25538.0,2980.0,2980.0,,,,0.001,,75000000.0,17652082.0,,,17652.0,-16058.0,,,,,,,,,,,,,,0.0,,,0.0,23959.0,,,2159.0,,,,,,,,,,,654.0,,,,,13402.0,,,79593.0,1667413.0,,,,,,-40017.0,418758.0,,,40671.0,-40671.0,,76613.0,654.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,-3355384.0,,,,-1587820.0,,,,,,,,,,,,,17652082.0,
2015-05-31,2015-09-01,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,213576.0,1088044.0,42134.0,1705628.0,,34050.0,,71163.0,3062.0,,-34050.0,3062.0,3062.0,,-5470.0,,0.001,,75000000.0,17652082.0,,0.0,17652.0,-171124.0,,,,,,,,,,-1279301.0,1279301.0,,,-0.01,,1292.0,,27996.0,27996.0,,12082.0,,67701.0,29859.0,126603.0,,,,1846.0,,,-7019.0,,,,,14342.0,,,71163.0,1735777.0,,,,,-6762.0,-199120.0,419815.0,,,192149.0,-192149.0,,68101.0,,,,,,,,,,,,,,,,13500.0,,,,-3430028.0,,,,-1664614.0,,,,,,,,,,,,17652082.0,,
2015-08-31,2015-10-15,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,213576.0,1118124.0,53031.0,1705628.0,,8513.0,,62064.0,2476.0,,-42563.0,2476.0,2476.0,,-586.0,,0.001,,75000000.0,17652082.0,,,17652.0,-29144.0,,,,,0.0,,,,,,,,,0.0,,0.0,0.0,10897.0,,,666.0,0.0,,0.0,30080.0,,,,862.0,0.0,0.0,862.0,,0.0,,,15204.0,0.0,,62064.0,1755822.0,,,0.0,0.0,-586.0,-40041.0,408918.0,,,39179.0,-39179.0,,59588.0,-862.0,0.0,,,,,,,,0.0,,,,,,,,,0.0,-3470069.0,,,,-1693758.0,,,,,,,,,,,,17652082.0,17652082.0,
2015-11-30,2016-01-13,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,213070.0,1157825.0,55557.0,1705628.0,,8512.0,,53732.0,2656.0,,-51075.0,2656.0,2656.0,,,,0.001,,75000000.0,17652082.0,,,17652.0,-46583.0,,,,,,,,,,,,,,0.0,,,0.0,2525.0,,,3743.0,,,,,,,,,,,853.0,,,,,16057.0,,,53732.0,1794072.0,,,,,,-49108.0,407120.0,,,48255.0,-48255.0,,51076.0,-853.0,0.0,,,,,,,,,,,,,,6000.0,,,,-3519177.0,,,,-1740340.0,,,,,,,,,,,,17652082.0,17652082.0,
2016-02-29,2016-04-19,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,220830.0,1177922.0,59259.0,1705628.0,,8513.0,,44545.0,1982.0,,-59588.0,1982.0,1982.0,,,,0.001,,75000000.0,17652082.0,,22467.0,17652.0,-80489.0,,,,,,,,,,,,,,0.0,,,0.0,3703.0,,,2102.0,,,,,,,,,,,24556.0,,,,,39313.0,,,44545.0,1865374.0,,,,,,-84192.0,404842.0,,,59636.0,-59636.0,,42563.0,24556.0,0.0,,,,,,,,,,,,,,1510.0,,,6103.0,-3603368.0,,,,-1820829.0,,,,,,,,,,,,,17652082.0,
2016-05-31,2016-09-07,10-K,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,222072.0,960376.0,52747.0,1993451.0,,34050.0,,41201.0,7151.0,,,7151.0,7151.0,,4089.0,,0.001,,75000000.0,18228882.0,,35062.0,18229.0,-254985.0,,,,,254700.0,,,,,-1372572.0,1372572.0,,,-0.01,,1253.0,,10613.0,10613.0,,13573.0,,93271.0,8496.0,127032.0,,,,30093.0,,,-30880.0,,,,,44435.0,,,41201.0,1672400.0,,,57528.0,,-54692.0,-265598.0,410455.0,,,234718.0,-234718.0,,34050.0,,,,,,,,,,57528.0,,,,,,9010.0,,,31643.0,-3695626.0,,,,-1631199.0,,,,,,,,,288400.0,,,17792342.0,,
2016-08-31,2016-10-21,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,218657.0,,52521.0,2091979.0,,8513.0,,30035.0,4498.0,,,4498.0,4498.0,,-2653.0,,0.001,,75000000.0,18426332.0,,0.0,18426.0,-50919.0,,,,88890.0,44445.0,,,,,,,,,0.0,,-226.0,,-226.0,,,4362.0,0.0,,-3415.0,23133.0,,,,817.0,,,-817.0,,0.0,,,45252.0,,,30035.0,1613428.0,,,19218.0,0.0,-21645.0,-50693.0,410455.0,,,49876.0,-49876.0,,25537.0,,,,,,,,,,19218.0,,,,,,,,,6501.0,-3746319.0,,,,-1583393.0,,,38436.0,38436.0,,,,,19218.0,,,18336320.0,,
2016-11-30,2017-01-13,10-Q,PREAXIA HEALTH CARE PAYMENT SYSTEMS INC.,PAXH,CIK0001350156,USD,223454.0,,57258.0,2091979.0,,8512.0,,22520.0,5495.0,,,5495.0,5495.0,,,,0.001,,75000000.0,18228882.0,,26339.0,18426.0,-69253.0,,,,,,,,,,,,,,0.0,,,,4737.0,,,8920.0,,,,,,,,,,,790.0,,,,,45613.0,,,22520.0,1670430.0,,,,,,-69253.0,406177.0,,,-68463.0,-68463.0,,17025.0,,,,790.0,,,,,,,,,,,,6000.0,,,13531.0,-3815573.0,,,,-1647910.0,,,,,,,,,,,,18426320.0,,
