end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfGoodsSold,CostOfRevenue,CostsAndExpenses,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,ForeignCurrencyTransactionGainLossBeforeTax,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationTaxCredits,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOfficersAndStockholders,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedLicenseAgreements,InterestPaid,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableToBankCurrent,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OccupancyNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostAndExpenseOperating,OtherCostOfServices,OtherGeneralAndAdministrativeExpense,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,RepaymentsOfBankDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,SharePrice,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesConversionOfUnits,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2014-10-31,2014-12-29,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,39563.0,,,174080.0,6000.0,,,13.0,,,13.0,13.0,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,,0.0,,,,,,364490.0,-24049.0,,58840.0,-0.001,,,-251.0,1809.0,0.0,-24049.0,,,0.0,0.0,,,,,-6615.0,,,,0.0,,,0.0,0.0,3600.0,,98403.0,13.0,,0.0,,24677.0,24677.0,,-24664.0,-24664.0,-24049.0,3600.0,23798.0,,,,6000.0,600.0,,-28.0,25000.0,-295.0,-295.0,,12389.0,-24049.0,28.0,,,0.0,,,,-98390.0,,,,,,,,,,,,,24520000.0
2015-01-31,2015-03-23,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,47246.0,,,180080.0,,,,,,,,,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,,,,,,,,,385436.0,,,66090.0,-0.0009,,,,1369.0,,-20946.0,,,,,,,,,,,,,,,,,,,,113336.0,,,,,,,,,,-20946.0,3600.0,20946.0,,,,,,,,,,,,9977.0,,,,,,,,,-113336.0,,,,,,,,,,,,,24520000.0
2015-04-30,2015-06-15,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,,54531.0,186080.0,,,,,,,0.0,,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,,,,0.0,,,,,401614.0,,,68983.0,-0.0007,,,0.0,715.0,0.0,-16178.0,,0.0,,,,,,,,,,,,,,,,0.0,,123514.0,,,,6000.0,,,,,,-16178.0,0.0,16178.0,,,,,,,,,,,,7463.0,,,,,0.0,,,,-123514.0,,,,,,,,,,,,,24520000.0
2015-07-31,2015-12-15,10-K,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,50618.0,6500.0,186080.0,18000.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,0.0,,,90437.0,0.0,90437.0,,,,,72774.0,-0.0028,0.38,1.0,-251.0,5068.0,0.0,-67551.0,,0.0,0.0,0.0,18829.0,6840.0,25669.0,,10024.0,916.0,,,0.0,,0.0,0.0,,,,129892.0,0.0,,0.0,,,38611.0,,,-38611.0,-67551.0,7200.0,67300.0,,237992.0,,,,,,25000.0,,13639.0,,35032.0,-67551.0,28.0,-407992.0,0.0,,,,,-129892.0,,,,,,,,,,25000.0,25000.0,,24520000.0
2015-10-31,2015-12-22,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,58449.0,4075.0,186080.0,,,0.0,,,,0.0,0.0,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,,,,0.0,,,,,,,,73804.0,-0.0003,,,0.0,1030.0,0.0,-6436.0,,0.0,,0.0,,,,7831.0,7831.0,-2425.0,,,,,,0.0,,,,136328.0,,,,,,1030.0,,,-1030.0,-6436.0,,6436.0,,,,,,,,0.0,,1030.0,,5406.0,,,-414428.0,,0.0,,,,-136328.0,,,,,,,,,,0.0,,,24520000.0
2016-01-31,2016-03-21,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,55699.0,4075.0,186080.0,,,,,,,,,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,,,,,,,,,,,88666.0,-0.0005,,,,1405.0,,-12112.0,,,,,,,,,,,,,,,,,,,,148440.0,,,,,,,,,,-12112.0,,12112.0,,,,,,,,,,,,10707.0,,,-426540.0,,,,,,-148440.0,,,,,,,,,,,,0.0,24520000.0
2016-04-30,2016-07-13,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,57062.0,2575.0,186080.0,,,,0.0,,0.0,0.0,,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,,,0.0,,,,,,,,94879.0,-0.0002,,,0.0,677.0,0.0,-6076.0,,0.0,,,,,,,,,,,,,,,,0.0,,154516.0,0.0,,,0.0,,,,,,-6076.0,0.0,6076.0,,,,,,,,,,,,5399.0,,,-432616.0,,0.0,,,,-154516.0,,,,,,,,,,,,,24520000.0
2016-07-31,2016-11-29,10-K,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,58353.0,2500.0,186080.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,24520.0,0.0,,0.0,94697.0,0.0,94697.0,0.0,,,98542.0,98542.0,-0.0012,0.38,1.0,0.0,4367.0,0.0,-29503.0,-29503.0,0.0,0.0,,11211.0,0.0,11211.0,,3735.0,-4000.0,0.0,25768.0,0.0,0.0,0.0,,0.0,,,159395.0,0.0,,0.0,,25768.0,25768.0,,-25768.0,-25768.0,-29503.0,0.0,29503.0,,249204.0,,,,,,0.0,,25768.0,0.0,25136.0,-29503.0,0.0,-437495.0,0.0,0.0,,,,-159395.0,,,-67500.0,,,,,,,,,,24520000.0
2016-10-31,2016-12-14,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,57378.0,6575.0,186080.0,,,0.0,0.0,,0.0,0.0,0.0,,,,0.001,500000000.0,24520000.0,24520000.0,24520.0,,,,0.0,,,,,,,,259.0,-0.0003,,,0.0,2934.0,0.0,-6769.0,,0.0,,0.0,,,,-975.0,,4075.0,,,,,,0.0,,,,166164.0,0.0,,,,,3669.0,,,-3669.0,-6769.0,,6769.0,,,,,,,,0.0,,3669.0,,3835.0,,,-444264.0,,0.0,,,,-166164.0,,,,,,,,,,0.0,,,24520000.0
2017-04-30,2017-08-11,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,2017-12-28,10-Q,HEALTH ADVANCE INC.,HADV,CIK0001531477,USD,,17891.0,159896.0,3083803.0,,1548.0,,2965100.0,,100.0,,100.0,100.0,,,0.001,500000000.0,126797500.0,126797500.0,126797.0,,,,0.0,,,,15000.0,,,6409.0,,-0.0006,,,0.0,8545.0,0.0,,-74288.0,0.0,,0.0,,,,,53788.0,,0.0,5600.0,,2965000.0,,0.0,0.0,,20525.0,283118.0,2965100.0,,,,5600.0,,,-5500.0,,-74288.0,,74288.0,,,,,,,,0.0,,,25470.0,3200.0,-74288.0,,-596118.0,,0.0,,,98922.0,2681982.0,,,-67500.0,,,,33527500.0,,,,,,126297500.0
