end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,AdditionalPaidInCapital,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AreaOfLand,Assets,AssetsCurrent,AssetsNoncurrent,CapitalizedComputerSoftwareGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,CostsAndExpenses,CostsAndExpensesRelatedParty,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsValuationAllowance,DepositAssetsPresentValueOfExpectedRecoveries,Deposits,DepositsAssetsCurrent,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FixturesAndEquipmentGross,FurnitureAndFixturesGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidExpensesOther,IntangibleAssetsNetExcludingGoodwill,InterestPaid,InterestPaidNet,InventoryAdjustments,InventoryNet,InventoryNoncurrent,InventoryWriteDown,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCreditFacilityDecreaseForgiveness1,LoansPayableCurrent,LossContingencyLossInPeriod,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwardsValuationAllowance,OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,OtherPrepaidExpenseCurrent,PaymentsForDeposits,PaymentsForOtherOperatingActivities,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfLoansHeldForInvestment,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PublicUtilitiesInventory,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfRelatedPartyDebt,RestrictedStockSharesIssuedNetOfSharesForTaxWithholdings,RetainedEarningsAccumulatedDeficit,Revenues,SaleLeasebackTransactionMonthlyRentalPayments,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,TaxesPayableCurrent,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WorkersCompensationLiabilityCurrent
2019-06-30,2019-11-21,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,,,3881.0,,,,3086.0,,,200.0,,,,,200.0,,,,,,0.001,75000000.0,30300000.0,30300000.0,30300.0,0.0,,,,,,,,,,,,,,,,80623.0,,0.0,,,,,,,1248.0,0.0,,0.0,-1248.0,,,,,,,,,,,,,,,,,,,,,,,,84504.0,200.0,84504.0,,,,,,,,,-1248.0,-1248.0,-1248.0,,,,,,,,,,,,,,,,,,,,,,-117690.0,0.0,,,-84304.0,,,,,,30300000.0,,
2019-09-30,2020-01-24,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,,,4475.0,,,,3086.0,,,200.0,,,,,200.0,,,,,,0.001,75000000.0,30300000.0,30300000.0,30300.0,0.0,,,,,,,,,,,,,,,,80623.0,,0.0,,,,,,,594.0,0.0,,-594.0,-594.0,,0.0,,,,,,,,,,,,,,,,,,,,,,85098.0,200.0,85098.0,,,,,,,,,-594.0,,594.0,,,,,,,,,,,,,,,,,,,,,,-118284.0,0.0,,,-84898.0,,,,,,30300000.0,30300000.0,
2019-12-31,2020-12-01,10-K,GSG GROUP INC.,GSGG,CIK0001668523,USD,15444.0,,15444.0,15444.0,,,18261.0,,,200.0,0.0,,,200.0,200.0,0.0,,,,0.001,0.001,75000000.0,49125000.0,49125000.0,49125.0,0.0,,,-23222.0,,,,34000.0,34000.0,0.0,23222.0,-23222.0,0.0,,,0.0,56440.0,,0.0,,,,,,,23222.0,0.0,,,-23222.0,,0.0,,,,,,,7105.0,,,0.0,,,0.0,,,,,,0.0,,0.0,71884.0,200.0,71884.0,,,,,16117.0,,-16117.0,,-23222.0,,-23222.0,,-23222.0,,,0.0,,,,,0.0,0.0,,16117.0,,,,0.0,,,0.0,,-139069.0,0.0,,,-71683.0,,,0.0,,,30867329.0,30867329.0,
2020-03-31,2020-12-01,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,,,15444.0,,,,18261.0,,,200.0,0.0,,,,200.0,0.0,,,,,0.001,75000000.0,49125000.0,49125000.0,49125.0,0.0,,,,0.0,,,,,,,,,,,0.0,61347.0,,0.0,,,,,,,4907.0,0.0,,-4907.0,-4907.0,,0.0,0.0,,,0.0,4907.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,76790.0,200.0,76790.0,,,,,0.0,,0.0,,-4907.0,,-4907.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,-143976.0,0.0,,,-76590.0,,,,,,49125000.0,49125000.0,
2020-06-30,2020-12-03,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,,,12790.0,,,,18261.0,,,200.0,200.0,,,,200.0,,,,,,0.001,75000000.0,49125000.0,49125000.0,49125.0,0.0,,,,,,,,,,,,,,,,64606.0,,0.0,,,,,,,606.0,0.0,,-606.0,-606.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,77396.0,200.0,77396.0,,,,,,,,,-606.0,-606.0,,-606.0,,,,,,,,,0.0,,,,,,,0.0,,,,,-144582.0,0.0,,,-77196.0,,,,,,49125000.0,,
2020-09-30,2020-12-03,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,13384.0,,,,,,18261.0,,,200.0,0.0,,,200.0,200.0,,,,,,0.001,75000000.0,49125000.0,49125000.0,49125.0,0.0,,,,,,,,,,,,,,,,64606.0,,0.0,,,,,,,594.0,0.0,,-594.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,77990.0,200.0,77990.0,,,,,,,,,-594.0,,594.0,-594.0,,,,,,,,,0.0,,,,,,,0.0,,,,,-145176.0,0.0,,,-77790.0,,,,,,49125000.0,49125000.0,
2020-12-31,2021-04-15,10-K,GSG GROUP INC.,GSGG,CIK0001668523,USD,10244.0,,,10244.0,,,18261.0,,,200.0,0.0,,,,200.0,0.0,,,,0.001,0.001,75000000.0,30125000.0,30125000.0,30125.0,,,,-14966.0,,,,,,0.0,14966.0,-14966.0,0.0,,,0.0,76605.0,,0.0,,,0.21,,,,14966.0,0.0,,,-14966.0,,0.0,,,,,,,-5200.0,,,,,,0.0,,,,,,0.0,,0.0,86849.0,200.0,86849.0,,,,,20165.0,,-20166.0,,-14966.0,,,,-14966.0,,,0.0,,,,,0.0,0.0,,20165.0,,,,0.0,,,0.0,,-135035.0,0.0,,,-86649.0,,,0.0,,,30125000.0,,
2021-03-31,2021-06-11,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,10838.0,,,,,,18261.0,,,200.0,200.0,,,,200.0,0.0,,,,,0.001,75000000.0,30125000.0,30125000.0,30125.0,0.0,,,,,,,,,,,,,,,0.0,76605.0,,0.0,,,,,,,594.0,0.0,,-594.0,-594.0,,0.0,0.0,,,0.0,594.0,,,,,,,,0.0,,,0.0,,,0.0,,0.0,87443.0,200.0,87443.0,,,,,0.0,,0.0,,-594.0,,-594.0,,,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,,-135629.0,0.0,,,-87243.0,,,,,,30125000.0,,
2021-06-30,2021-08-27,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,11432.0,,,,,,18261.0,,,200.0,0.0,,,,200.0,,,,,,0.001,75000000.0,30125000.0,30125000.0,30125.0,0.0,,,,,,,,,,,,,,,,76605.0,,0.0,,,,,,,594.0,0.0,,-594.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,88037.0,200.0,88037.0,,,,,,,,,-594.0,,,-594.0,,,,,,,,,0.0,,,,,,,0.0,,,,,-136223.0,0.0,,,-87837.0,,,,,,30125000.0,,
2021-09-30,2021-11-23,10-Q,GSG GROUP INC.,GSGG,CIK0001668523,USD,12026.0,,,,,,18261.0,,,200.0,0.0,,,,200.0,,,,,,0.001,75000000.0,30125000.0,30125000.0,30125.0,0.0,,,,,,,,,,,,,,,,76605.0,,0.0,,,,,,,594.0,0.0,,-594.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,88631.0,200.0,88631.0,,,,,,,,,-594.0,,,-594.0,,,,,,,,,0.0,,,,,,,0.0,,,,,-136817.0,0.0,,,-88431.0,,,,,,30125000.0,,
