end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesAndOtherLiabilities,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,CostOfGoodsAndServicesSold,CostOfGoodsSold,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentRate,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleStockPriceTrigger,DebtInstrumentIncreaseAccruedInterest,DeferredIncomeTaxLiabilities,DeferredRevenue,DeferredTaxAssetsTaxDeferredExpense,Depreciation,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FixturesAndEquipmentGross,FurnitureAndFixturesGross,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherDeferredLiability,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestIncomeExpenseNet,InterestIncomeOther,InterestPaidNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingGainsLosses,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherNoncashIncomeExpense,OtherNonoperatingIncome,PaymentsToAcquireFurnitureAndFixtures,PaymentsToAcquireProductiveAssets,PrepaidExpenseCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueFromRelatedParties,Revenues,SalesCommissionsAndFees,SalesRevenueGoodsGross,ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,StockholdersEquity,StockIssuedDuringPeriodSharesRestrictedStockAwardGross,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-04-30,2017-06-15,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2357.0,39000.0,,20780.0,314.0,,,314.0,314.0,,,,0.001,75000000.0,141000.0,141000.0,5000.0,,,,,6008.0,,,,,,,,,,,,-0.0007,,8000.0,,,932.0,,,,,,,,,,,,,,,,,,,,,,,,1415.0,20780.0,,1415.0,,,,,,-104.0,,,1036.0,-104.0,,,1036.0,,,,,,,,,,,,,,20466.0,-4474.0,,-24635.0,,,6939.0,,6939.0,,19365.0,,,,,,,,,141000.0
2017-07-31,2017-09-19,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2464.0,39000.0,,22769.0,2516.0,,,2516.0,2516.0,,,,0.001,75000000.0,141000.0,141000.0,5000.0,,,,6436.0,6436.0,,,,,,,,,,,,0.0,,8000.0,,713.0,2701.0,,1988.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1415.0,22769.0,,1415.0,,,,,,1989.0,,,713.0,1988.0,,,713.0,,,,,,,,,,,,,,20253.0,-4474.0,,-22646.0,9137.0,,9137.0,,9137.0,,21354.0,,,,,,,,,102141189.0
2017-10-31,2018-02-13,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2571.0,43859.0,,20073.0,33.0,20040.0,,33.0,33.0,-282.0,,,0.001,750000000.0,102141189.0,102141189.0,102141.0,,12291.0,,33612.0,33613.0,,,,,,,,,321.0,,,-0.0015,,8000.0,8000.0,,6897.0,,,,,0.0,,,,,,,,77213.0,,,,,,,,,0.0,,13706.0,20073.0,,1415.0,,0.0,,639.0,-921.0,-78134.0,,1415.0,85031.0,-78134.0,,,85031.0,,,,,,,,,,,,,,20040.0,-2571.0,,-139633.0,,,40509.0,,40509.0,,6367.0,,,,,,,,,51141095.0
2018-01-31,2018-03-08,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2678.0,39000.0,,20558.0,731.0,,,731.0,731.0,698.0,,,0.001,75000000.0,141000000.0,141000000.0,5000.0,,,,7401.0,7401.0,,,,,,,,,107.0,106.0,,0.0,,8000.0,,2463.0,2947.0,484.0,,-1.0,,0.0,,,,,,,,,,,,,,,,1.0,0.0,,1415.0,20558.0,,1415.0,,,0.0,213.0,485.0,485.0,,,2463.0,484.0,,,2463.0,,,,,,,,,,,,,,19827.0,-5113.0,,-24857.0,,,10348.0,,10348.0,,19143.0,,,,,,,,,102141189.0
2018-04-30,2018-06-06,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,2785.0,39000.0,2171.0,20649.0,1035.0,,,1035.0,1034.0,,,,0.001,75000000.0,141000000.0,141000000.0,5000.0,,,,7945.0,7945.0,,,,,,,,,,,,0.0,,8000.0,,,2261.0,,90.0,-1.0,,,,,,,,,,,,,,,,,,1.0,,,1415.0,20649.0,,1415.0,,,,,,91.0,,,2171.0,90.0,,,2171.0,,,,,,,,,,,,,,19614.0,-5326.0,,-24766.0,,,10206.0,,10206.0,,19234.0,,,,,,,,,102141189.0
2018-07-31,2019-08-06,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,,43859.0,6943.0,0.0,0.0,,,0.0,0.0,,,,0.01,750000000.0,102141189.0,102141189.0,102141.0,,,,0.0,,,,,,,,,,,,,-0.0001,,,,,0.0,,-6943.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,-6943.0,,,6943.0,,,,,,,,,,,,,,,,,,,,,-146000.0,,,0.0,,,,0.0,,,,,,,,,102141189.0
2018-10-31,2019-08-06,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,0.0,43859.0,6943.0,0.0,0.0,0.0,,0.0,0.0,-33.0,,,0.001,750000000.0,102141189.0,102141189.0,102141.0,,0.0,,15347.0,,,,,,,,,,526.0,,,-0.0001,,,0.0,4634.0,5207.0,,-6370.0,,,0.0,,,,-1134.0,,,,5809.0,,,,,,,,2.0,0.0,,0.0,0.0,,,12291.0,0.0,0.0,526.0,-33.0,-6368.0,,0.0,11577.0,-6370.0,,,4634.0,,,,,,,,,3231.0,,,-6367.0,,,0.0,,-146000.0,20554.0,1415.0,20554.0,,,,0.0,,,,,,,,,102141189.0
2019-01-31,2019-08-06,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,,43859.0,,0.0,0.0,,,0.0,0.0,0.0,,,0.001,750000000.0,102141189.0,102141189.0,102141.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,-146000.0,,,0.0,,,,0.0,,,,,,,,,102141189.0
2019-04-30,2019-08-06,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,,0.0,43859.0,,0.0,,,,,0.0,,,,,,102141189.0,102141189.0,102141.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,-146000.0,0.0,,0.0,,,,0.0,,,,,,,,,102141189.0
2019-07-31,2019-09-12,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,82425.0,,43859.0,,0.0,,,,0.0,0.0,,,,0.001,750000000.0,102141189.0,102141189.0,102141.0,,11631.0,,0.0,,,,,,,,,,,,,0.0,,,,94056.0,0.0,,-94056.0,,,,,,,,,,,,,,,,,,,,,,94056.0,0.0,,,,,,,,-94056.0,,,94056.0,,,,,,,,,,,,,,,,,,,,,-240056.0,,,0.0,,,,-94056.0,,,,,,,,,255353.0
2019-10-31,2020-01-09,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,11141.0,,11141.0,,250482.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.001,0.001,750000000.0,517853.0,517853.0,518.0,100000.0,9956.0,9956.0,0.0,,-26480.0,,,,0.0,,,,,,0.0,-0.41,0.21,,,100000.0,0.0,-126097.0,-126097.0,0.0,0.0,0.0,0.0,,,11141.0,,100000.0,,,11141.0,,,,0.0,0.0,,,0.0,,21097.0,0.0,21097.0,,,,14956.0,,0.0,-126097.0,-126097.0,,126097.0,-126097.0,57140.0,0.0,,,,,,,,5000.0,,,14956.0,26097.0,-126097.0,,,,,-272097.0,,,0.0,,,,-21097.0,,5000.0,,,,,26480.0,-57140.0,308946.0
2020-01-31,2020-03-10,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,11179.0,,43859.0,,0.0,,,,0.0,0.0,0.0,0.0,0.001,,750000000.0,207141118.0,207141118.0,207141.0,,15351.0,,,,,,,,,,,,,,,-0.01,,,,0.0,,-5433.0,,0.0,,0.0,0.0,,,153.0,,,,,153.0,,,,,115.0,,,0.0,,26530.0,0.0,,,,,5280.0,,0.0,-5433.0,,,5318.0,-5318.0,,115.0,,,,,,,,,,,5280.0,5318.0,,,,,,-277530.0,,,0.0,,,,-26530.0,,,,,,,,,517853.0
2020-04-30,2020-05-27,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,12783.0,,43859.0,,750.0,750.0,,,,0.0,,,0.001,,,207141189.0,207141189.0,207141.0,,20955.0,,,,,,,,,,,,,,,-0.01,,,,6304.0,,,,,,,,,,,,,,,,,,,,154.0,,,,,33738.0,750.0,,,,,,,,-6458.0,,,6304.0,-6304.0,,,,-154.0,,,,750.0,,,,,,0.0,,,,,,-283988.0,,,0.0,,,,-32988.0,,,,,,,,,517853.0
2020-07-31,2020-08-10,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,,8065.0,,250482.0,,0.0,,,,0.0,0.0,,,0.001,,750000000.0,31518466.0,31518466.0,31518.0,,4700.0,,,,,,,,,,,,,,,-0.02,,,,10508.0,,-10777.0,,0.0,,,,,,,,,,,,,,,,-269.0,-269.0,,,,12765.0,0.0,,,,,,,,-10777.0,,,10508.0,-10508.0,,,,-269.0,,,,,,,,,,0.0,,,,,,-294765.0,,,0.0,,,,-12765.0,,31000.0,31000.0,,,,,,517853.0
2020-10-31,2021-03-22,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,10913.0,10913.0,,,257587.0,,0.0,0.0,,0.984,0.0,0.0,,0.0,0.001,0.001,750000000.0,31518466.0,31518466.0,31518.0,,,0.0,,,-6474.0,,,,0.0,,,,,,8559.0,0.0,0.21,,,900.0,,-36480.0,,0.0,0.0,,0.0,251.0,,,,0.0,,,251.0,,,,479.0,-479.0,-479.0,,0.0,,19472.0,0.0,19472.0,,,,,,0.0,-36480.0,-30829.0,,36001.0,-36001.0,71275.0,479.0,,-479.0,,,,,,31000.0,,,,35101.0,,,,,,-308577.0,,,0.0,,,,-19472.0,,31000.0,,,,,6474.0,-71275.0,10455090.0
2021-01-31,2021-04-07,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,10010.0,,,,257587.0,,0.0,0.0,,,0.0,,,0.0,,0.001,750000000.0,31518466.0,31518466.0,31518.0,,,,,,,,,,,,,,,,20747.0,0.0,,,,1675.0,,-11285.0,,0.0,,,0.0,,,,,,,,-903.0,,,,,0.0,,,0.0,,30757.0,0.0,30757.0,,,,,,0.0,-11285.0,,,11285.0,-11285.0,,0.0,,,,,,,,,,,,9610.0,,,,,,-319862.0,,,0.0,,,,-30757.0,,,,,,,,,31518466.0
2021-04-30,2021-06-14,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,14474.0,,,,257587.0,,0.0,0.0,,,,0.0,,,,0.001,750000000.0,31518466.0,31518466.0,31518.0,,,,,,,,,,,,,,,,28542.0,0.0,,,,300.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,43016.0,0.0,43016.0,,,,,,,-12259.0,,,12259.0,-12259.0,,,,0.0,,,,,,,,,,11959.0,,,,,,-332121.0,,,0.0,,,,-43016.0,,,,,,,,,31518466.0
2021-07-31,2021-09-09,10-Q,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,9950.0,,,,257587.0,,0.0,0.0,,,,0.0,,,,0.001,750000000.0,31518466.0,31518466.0,31518.0,,,,,,,,,,,,,,,,35866.0,0.0,,,,1650.0,,-2800.0,,0.0,,,,,,,,,,,,,,,,,0.0,,,,45816.0,0.0,45816.0,,,,,,,-2800.0,,,2800.0,-2800.0,,,,0.0,,,,,,,,,,1150.0,,,,,,-334921.0,,,0.0,,,,-45816.0,,,,,,,,,31518466.0
2021-10-31,2022-01-26,10-K,"HUAIZHONG HEALTH GROUP, INC.",ADAD,CIK0001593204,USD,,9950.0,,,257587.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.001,750000000.0,31518466.0,31518466.0,31518.0,,,,,,-7661.0,,,,,,,,,,40351.0,0.0,0.21,,,2910.0,,-30829.0,,0.0,0.0,,0.0,-963.0,,,,,,,,,,,,,0.0,,0.0,,50301.0,0.0,50301.0,,,,,,0.0,-30829.0,-36480.0,,30829.0,-30829.0,64801.0,,,0.0,,,,,,0.0,,,,27919.0,,,,,,-339406.0,,,0.0,,,,-50301.0,,,,,,,7661.0,-64801.0,31518466.0
