end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedIncomeTaxesCurrent,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,DeferredCompensationLiabilityCurrent,DeferredIncomeTaxExpenseBenefit,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsLiabilitiesNetNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,DepositsAssetsNoncurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxCreditsAndAdjustments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInSecurityDeposits,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InventoryNet,LeaseAndRentalExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OtherExpenses,OtherPrepaidExpenseCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidRent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SecurityDeposit,SecurityDeposit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2018-12-28,10-K,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,7312.0,,92227.0,868975.0,1482829.0,1477837.0,,1148.0,-35662.0,,0.001,100000000.0,47760000.0,47760000.0,47760.0,7181100.0,,,0.0,,,0.0,32042.0,,32042.0,,4992.0,,141136.0,0.01,0.245,833400.0,,511887.0,,92227.0,0.0,0.0,-32042.0,124269.0,,6712.0,92227.0,,,,,665600.0,-500.0,-4992.0,,3663.0,,0.0,1146600.0,,25165.0,240675.0,1482829.0,240675.0,104757.0,,-140419.0,,419660.0,-3663.0,317850.0,515550.0,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,0.0,330089.0,,,105257.0,,,,500.0,,325419.0,8014500.0,,39000.0,4992.0,317850.0,7411.0,,,1242154.0,,,307500.0,,,47661235.0
2018-12-31,2019-02-14,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,7582.0,,92227.0,869697.0,1270935.0,1250994.0,,37607.0,36459.0,,0.001,100000000.0,47760000.0,47760000.0,47760.0,1218600.0,,-19941.0,,,19941.0,19941.0,19941.0,,0.0,4992.0,,,3266.0,0.0,0.21,135400.0,,-94957.0,,-19941.0,0.0,0.0,0.0,-19941.0,,270.0,,,19941.0,,,-86600.0,-30000.0,,,722.0,,0.0,360000.0,,8560.0,103075.0,1270935.0,103075.0,-137870.0,,174329.0,,-75016.0,-722.0,229635.0,-94235.0,,,,,,,,,,,,,0.001,25000000.0,0.0,0.0,,148395.0,,,3466.0,,,,141336.0,,250403.0,1354000.0,,,,229635.0,151694.0,,,1167860.0,,,,,,47760000.0
2019-03-31,2019-05-15,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,10618.0,,92227.0,869805.0,1139469.0,1074404.0,,412.0,-37195.0,,0.001,100000000.0,47760000.0,47760000.0,47760.0,,,,,20000.0,65065.0,65065.0,65065.0,,,4992.0,,,18406.0,0.0,,,,-214874.0,,-45124.0,,0.0,0.0,-45124.0,,3036.0,,20000.0,45124.0,,,,9000.0,,,108.0,,0.0,1060000.0,,,141251.0,1139469.0,141251.0,15140.0,,-52335.0,,-169750.0,-108.0,214766.0,-214766.0,7560.0,,,,,,,,,310000.0,,,0.001,25000000.0,0.0,0.0,,9000.0,,,15140.0,,,,,,80653.0,,,,,214766.0,148395.0,,,998218.0,,,,,,47760000.0
2019-06-30,2019-08-14,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,9690.0,,,870414.0,1081094.0,1071223.0,,231.0,,,0.001,100000000.0,47760000.0,47760000.0,47760.0,,,,,20000.0,9871.0,9871.0,9871.0,,,4992.0,,,103401.0,0.0,,,,-68701.0,,-17877.0,,,,,,,,,,,,,,,,609.0,,,1060000.0,,,133091.0,1081094.0,133091.0,,,,,-50824.0,-609.0,68092.0,-68092.0,,,,,,,,,,47000.0,,,0.001,25000000.0,0.0,0.0,,6000.0,,,,,,,,,29829.0,,,,,68092.0,,,,948003.0,,,,,,47760000.0
2019-09-30,2020-01-07,10-K,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,18024.0,,,871240.0,1069464.0,1069464.0,,1472.0,,,0.001,100000000.0,47760000.0,47760000.0,47760.0,,,,116000.0,116000.0,,0.0,23407.0,,23407.0,4992.0,,,61768.0,0.0,0.21,,,-65286.0,,9871.0,,,23407.0,,,,,,,,,,-27000.0,,,826.0,,,1060000.0,,30240.0,195792.0,1069464.0,195792.0,,,,,-75157.0,-826.0,64460.0,-64460.0,,,,,,,,,,111000.0,,,0.001,25000000.0,0.0,0.0,0.0,3000.0,,,,,,,,,-45328.0,,,,,64460.0,,,,873672.0,,,,,,47760000.0
2020-03-31,2020-05-19,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,15072.0,,,872121.0,1019449.0,972636.0,,10636.0,9725.0,,0.001,100000000.0,47760000.0,47760000.0,47760.0,528560.0,,,20000.0,,,0.0,39248.0,,22121.0,,,,62018.0,0.0,0.21,159404.0,,81116.0,,0.0,,0.0,-17127.0,17034.0,,-8762.0,,-17464.0,,,,-528560.0,12000.0,,,441.0,,0.0,350000.0,,,139653.0,1019449.0,123449.0,35739.0,,-26014.0,,81116.0,-441.0,77847.0,81557.0,6285.0,42563.0,26359.0,16204.0,42583.0,43977.0,22787.0,0.0,21190.0,,,,0.001,25000000.0,0.0,0.0,,12000.0,,,35739.0,,,81116.0,,,-40085.0,687964.0,,,4230.0,77847.0,,,,879796.0,,,,,,47760000.0
2020-06-30,2020-08-19,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,1072.0,,,873049.0,998293.0,957381.0,,381.0,,,0.001,100000000.0,47760000.0,47760000.0,47760.0,0.0,,,20000.0,,,0.0,39248.0,,35303.0,,,,123594.0,0.0,,0.0,,-63699.0,,0.0,,,,,,,,,,,,,,,,928.0,,,938000.0,,,181268.0,998293.0,171268.0,,,,,-63699.0,928.0,62771.0,-62771.0,,36602.0,26602.0,10000.0,36682.0,37632.0,22787.0,0.0,14845.0,,,,0.001,25000000.0,0.0,0.0,,7000.0,,,,,,,,0.0,-103784.0,0.0,,,4230.0,62771.0,,,,817025.0,,,,,,47760000.0
2020-09-30,2020-11-17,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,5072.0,,,874607.0,989107.0,954156.0,156.0,156.0,,,0.001,100000000.0,47760000.0,47760000.0,47760.0,0.0,,,20000.0,,,0.0,50326.0,,50326.0,,,,187970.0,0.0,,0.0,,-73099.0,0.0,,,,,,,,,,,,,,,,,1558.0,,,938000.0,,,243623.0,989107.0,239889.0,,,,,-73099.0,-1558.0,71541.0,-71541.0,,30581.0,26847.0,3734.0,30721.0,31287.0,22787.0,0.0,8500.0,,1558.0,,0.001,25000000.0,0.0,0.0,,4000.0,,,,,,,,0.0,-176883.0,0.0,,,4230.0,71541.0,,,,745484.0,,,,,,47760000.0
2020-12-31,2021-04-02,10-K,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,24734.0,,,876762.0,998053.0,973353.0,18123.0,18123.0,17212.0,,0.001,100000000.0,47760000.0,47760000.0,47760.0,528560.0,,,20000.0,,,0.0,66645.0,,66645.0,,,,242951.0,0.0,0.21,159404.0,,-135545.0,,-18092.0,-18092.0,,,-28464.0,,900.0,,-17464.0,,,,59440.0,1000.0,,,5082.0,,0.0,938000.0,,,312185.0,998053.0,312185.0,216672.0,,-199460.0,,-117453.0,-5082.0,289867.0,-130463.0,26141.0,24500.0,24500.0,0.0,24700.0,24941.0,24941.0,0.0,,317000.0,,,0.001,25000000.0,0.0,0.0,0.0,1000.0,,,216672.0,,,,,,-238654.0,687964.0,,,4230.0,289867.0,,,,685868.0,,,,,,47760000.0
2021-03-31,2021-05-24,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,14072.0,,,879265.0,938874.0,920256.0,,24359.0,6236.0,,0.001,100000000.0,47760000.0,47760000.0,47760.0,70000.0,,,20000.0,,,0.0,78613.0,,78613.0,,,,257567.0,0.0,0.21,29500.0,,-59494.0,,0.0,,0.0,,-12494.0,,-10662.0,,,,,,-70000.0,10667.0,,,2503.0,,0.0,868000.0,,,309997.0,938874.0,309997.0,14616.0,,-8380.0,,-59494.0,-2503.0,86491.0,-56991.0,6285.0,18358.0,18358.0,,18618.0,18598.0,,0.0,18598.0,,,,0.001,25000000.0,0.0,0.0,,11667.0,,,14616.0,,,,,,-298148.0,99500.0,,,,86491.0,,,,628877.0,,,,,,47760000.0
2021-06-30,2021-08-23,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,12072.0,,,20185456.0,700365.0,687891.0,215494.0,215494.0,,,0.001,100000000.0,54536000.0,54536000.0,54536.0,420000.0,18506950.0,,20000.0,,,0.0,76233.0,,76233.0,,,,15932.0,-0.02,,80000.0,,-794687.0,,0.0,,,,,,,,,,,,,,,,1367.0,,,448000.0,,,60158.0,700365.0,60158.0,,,,,-794687.0,1367.0,873320.0,-793320.0,,12154.0,12154.0,,12474.0,12252.0,,0.0,12252.0,,,,0.001,25000000.0,0.0,0.0,0.0,8167.0,2115.0,,,,,,,641725.0,-1092835.0,500000.0,,,4230.0,231595.0,,,,640207.0,,,,,,50515077.0
2021-09-30,2021-11-22,10-Q,"ACRO BIOMEDICAL CO., LTD.",ACBM,CIK0001622996,USD,16072.0,,,32293328.0,629828.0,623560.0,154663.0,,,,0.001,100000000.0,60042000.0,60042000.0,60042.0,0.0,,,20000.0,,,0.0,91351.0,,91351.0,,,,19650.0,-0.05,,0.0,,,0.0,,,,,,,,,,,,,,,,,178.0,,,448000.0,,,61610.0,629828.0,61610.0,,,,,-2990834.0,,2990656.0,-2990656.0,,5888.0,,5888.0,6268.0,5907.0,,0.0,5907.0,,178.0,,0.001,25000000.0,0.0,0.0,0.0,4667.0,2115.0,,,,,,,2123450.0,-4083669.0,0.0,,,4230.0,867206.0,,,,568218.0,,,,,,56870065.0
