end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedAmortizationOfNoncurrentDeferredFinanceCosts,AccumulatedOtherComprehensiveIncomeLossBeforeTax,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationExpensePerDollarOfGrossRevenue,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommonStockAdditionalSeriesSharesAuthorized,CommonStockAdditionalSeriesSharesIssued,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ComprehensiveIncomeNetOfTax,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentConvertibleNumberOfEquityInstruments,DebtInstrumentFaceAmount,DebtInstrumentFairValue,DebtInstrumentInterestRateStatedPercentage,DeferredCompensationLiabilityCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredStateAndLocalIncomeTaxExpenseBenefit,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromAffiliates,DueToOfficersOrStockholders,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FiniteLivedIntangibleAssetsAcquired,GainLossOnComponentsExcludedFromAssessmentOfForeignCurrencyCashFlowHedgeEffectiveness,GainLossOnNonRecourseDebt,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,GroundLeasesAccumulatedAmortization,ImpairedFinancingReceivableUnpaidPrincipalBalance,ImpairmentChargeOnReclassifiedAssets,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInInventoryForLongTermContractsOrPrograms,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedIntangibleAssetsExcludingGoodwill,InterestExpense,InterestPaid,InterestPayableCurrent,InventoryFinishedGoods,InventoryNet,InventoryWriteDown,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesIssued1,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NumberOfReportingUnits,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,OtherExpenses,OtherIntangibleAssetsNet,OtherNoncashIncome,OtherNotesPayableCurrent,OtherSalesRevenueNet,OtherSignificantNoncashTransactionValueOfConsiderationGiven1,PaymentsForAdvanceToAffiliate,PaymentsToAcquireIntangibleAssets,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfOtherDebt,ProceedsFromRepaymentsOfShortTermDebt,ProductionRelatedImpairmentsOrCharges,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentSalvageValue,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,SalariesAndWages,SaleLeasebackTransactionHistoricalCost,SaleOfStockPricePerShare,SalesRevenueGoodsNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,SharePrice,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,ShortTermDebtPercentageBearingFixedInterestRate,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceAmount,WeightedAverageNumberOfSharesOutstandingBasic
2012-09-30,2012-11-14,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,151594.0,,,,,-75806.0,,3496212.0,,,,,,,,233877.0,27277.0,277.0,,,277.0,,,,0.001,,90000000.0,74330397.0,74330397.0,,74330.0,-289589.0,,79717.0,,,,,,,-73182.0,,,,,,-187500.0,,,657323.0,,,,9000.0,1578.0,-0.004,,,,,,,,,,632.0,,,,,,,,,,,,,,206600.0,73975.0,,1303.0,,,,,,457889.0,233877.0,457889.0,,,,-282940.0,-73975.0,,,,,208965.0,-208965.0,,,-6649.0,6649.0,,,,,,,,,,,,,27000.0,,,,,,,,,,,-2873925.0,208333.0,,,,208333.0,,,,,,,,-224012.0,,,,,,,,,,,,,,73773114.0
2012-12-31,2013-03-22,10-K,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,123199.0,,,,,-75278.0,,3679944.0,315387.0,,,,,,,207676.0,1076.0,1076.0,1076.0,994.0,1076.0,,,,0.001,,200000000.0,10108586.0,10108586.0,,10109.0,-405138.0,,60680.0,,,,54278.0,,,-34296.0,,,,,0.05,-150000.0,-1170476.0,,568650.0,,,,,1597.0,-0.05,-0.34,0.0,6085.0,,,,,,,5767.0,,,,,,,-399078.0,,21916.0,,,,,206600.0,37655.0,,1480.0,,,,259175.0,0.0,185476.0,207676.0,185476.0,78600.0,,-83691.0,-399078.0,-37655.0,,,1597.0,,361423.0,-361423.0,3442575.0,,-6060.0,6060.0,,,,,,217811.0,,,,,,,,,,78600.0,,0.0,,-405138.0,,,,-2873925.0,355656.0,,,,,,,0.09,60680.0,,,,22200.0,47800.0,9349524.0,,,,,,184175.0,,,,,-1170476.0,7605160.0
2013-03-31,2013-05-06,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,145424.0,,,,,-75278.0,,3773560.0,185394.0,,,,,,,250088.0,43488.0,2774.0,,1698.0,2774.0,,,,0.001,,200000000.0,116578612.0,116578612.0,,116579.0,-235696.0,,63168.0,,,,34074.0,,,-42074.0,,,,,,-244944.0,,,804346.0,,,,,1616.0,-0.02,,,,,,,,,,9246.0,,,,,,,-235696.0,,23340.0,,,,40714.0,206600.0,43189.0,,,,,,160694.0,,358442.0,250088.0,358442.0,52000.0,,-50302.0,-235696.0,-43189.0,,12100.0,12100.0,,192507.0,-192507.0,,,0.0,,,,,,,,,,,,,,40714.0,,,40000.0,12000.0,,,,,,,-2873925.0,183261.0,,,,,,,,,,,63168.0,-108354.0,,7967325.0,,,,,,,,,,,,10877125.0
2013-06-30,2013-08-02,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,112320.0,,,,,-75278.0,,4381309.0,,,,,,,,492016.0,60416.0,16513.0,,,16513.0,,,,0.001,,200000000.0,156943593.0,156943593.0,,156944.0,-344634.0,,108494.0,,,,,,,,,,,,,-182753.0,,,1148980.0,,,,,1635.0,-0.03,,,,,,,,,,3344.0,,,,,,,-344634.0,,,,,,,431600.0,59068.0,,,,43903.0,,,,234699.0,492016.0,234699.0,,,,-344634.0,-59068.0,,12250.0,12250.0,,285566.0,-285566.0,,,,6575.0,,,,,,,,,,,,,,,,,,,,,,,,-2873925.0,282222.0,,,,282222.0,,,,,,0.05,122379.0,257317.0,,,,,,,,,,,,,,13269491.0
2013-09-30,2013-11-14,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,123080.0,,,,,-75278.0,,4384693.0,,,,,,,,464732.0,33132.0,269.0,,,269.0,,,,0.001,,200000000.0,174768593.0,174768593.0,,174769.0,-146567.0,,91716.0,,13075.0,13075.0,,,,,,,,,,-92429.0,,,1295547.0,,,,,1653.0,-0.01,,,,,,,,,-21000.0,5599.0,-12851.0,,,,,,-146567.0,,,,,,,431600.0,-107492.0,,,,27904.0,,,,242449.0,464732.0,242449.0,,,,-146567.0,86492.0,,6000.0,6000.0,,220208.0,-233059.0,,,,,,,,,,,,,,,,,4959.0,,,,,,,,,,,-2873925.0,214609.0,,,224.0,214609.0,,,,,,0.05,91716.0,222283.0,,,,,,,,,,,,,,16794645.0
2013-12-31,2014-06-25,10-K,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,144633.0,,,,,-75278.0,,4761836.0,1327161.0,,,,,,200000.0,25590.0,25590.0,711.0,711.0,-365.0,711.0,,,,0.001,,200000000.0,377456.0,377456.0,34400.0,377.0,-1459146.0,71043.0,71043.0,2315.0,,2315.0,131765.0,-21000.0,78715.0,-172972.0,,,,,,-17372.0,-1666585.0,,2027796.0,,,,,1672.0,-4.91,-0.34,0.0,,0.0,0.0,,,,,39497.0,-2091.0,,6000.0,,,200000.0,-1459146.0,,32389.0,,24879.0,,,,168862.0,,2821.0,,24879.0,24879.0,925679.0,,223348.0,25590.0,223348.0,131620.0,,-131985.0,-1459146.0,-189862.0,,6000.0,1672.0,,1267193.0,-1269284.0,4901721.0,200000.0,,0.0,,,,,,,,,1000.0,0.0,0.0,,0.0,,134220.0,,,200000.0,,-1459146.0,,,,-4901721.0,1027696.0,,0.018,224.0,,,,,80043.0,,,,-197758.0,6375.0,10600000.0,,,,,,,,,,,,297225.0
2014-03-31,2014-07-16,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,165279.0,,,,,-75278.0,,4764225.0,45694.0,,,,0.0,,,23676.0,23676.0,,,-711.0,0.0,,,,0.001,,200000000.0,21388003.0,21388003.0,,21388.0,-46405.0,,47497.0,1000.0,,1000.0,30000.0,,,-5667.0,,,,,,,,,2074201.0,,,,,1691.0,-0.08,,,,,,,,,,5363.0,-953.0,,,,,,-46405.0,,21451.0,,-1204.0,,0.0,,6473.0,,2608.0,,23676.0,23676.0,17372.0,,220467.0,23676.0,220467.0,0.0,,-711.0,-46405.0,-6473.0,,6000.0,1691.0,,38979.0,-39932.0,,,,,,,,,,,,,,,,,,,0.0,,,,33616.0,,,,,-2873925.0,33616.0,,,47.0,,,,0.005,50830.0,,,,-196791.0,0.0,8434000.0,,,,,,,,,,,,557732.0
2014-06-30,2014-08-12,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,156652.0,,,,,-75278.0,,4867050.0,,,,,,,,15602.0,15602.0,472.0,,,442.0,,,,0.001,,200000000.0,24078003.0,24078003.0,,24078.0,,,73750.0,9284.0,,9284.0,,,,,,,,,,-15448.0,,,,,,,,,-0.22,,,,,,,,,,7947.0,-8842.0,,,,,,-102536.0,,,,,,,,22348.0,,5002.0,,15130.0,,,,238112.0,15602.0,238112.0,,,,-102536.0,-22348.0,,7710.0,1710.0,,71346.0,-80188.0,,,,,,,,,,,,,,,,,,,,,,,63399.0,,,,,-5050662.0,63399.0,,,442.0,,,,0.013,110224.0,,,,-222510.0,,,,,,,,,,,,,,470771.0
2014-09-30,2014-10-22,10-Q,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,146561.0,,,,,-75278.0,,4991442.0,,,,,,,,14203.0,14203.0,879.0,,,879.0,,,,0.001,,200000000.0,29922271.0,29922271.0,,29922.0,,,109348.0,2117.0,,2117.0,,,117076.0,,,,,,,-65352.0,,,,,,,,,-0.18,,,,,,,,,,984.0,133.0,,,,,,-104377.0,,,,,,,,40307.0,,6061.0,,12857.0,,,,263637.0,14203.0,263637.0,,,,-104377.0,-40307.0,,7728.0,,,64203.0,-64070.0,,,,,,200000.0,,,,,,,,,,,467.0,,,,,,63219.0,,,,,-5155040.0,63219.0,,,2250.0,,,,0.006,145783.0,,,,-249434.0,,,,,,,,,,,,,,569369.0
2014-12-31,2015-03-30,10-K,"GLUCOSE HEALTH, INC.",GLUC,CIK0001420108,USD,,154659.0,,,0.0,,-75278.0,,5228346.0,534057.0,,,,100098.0,,,44030.0,43730.0,4871.0,4871.0,4160.0,4871.0,,,,0.001,,200000000.0,1309825.0,1309825.0,23000.0,1310.0,,138249.0,23927.0,23465.0,,2636.0,54788.0,-14562.0,169923.0,,,,,,,,-1894184.0,-1894184.0,,,,,,,-0.99,-0.34,0.0,,1.971,0.0086,,,14562.0,,16298.0,-20726.0,,,20829.0,,,-669409.0,,21793.0,,-10477.0,,,300.0,109631.0,,,,0.0,14402.0,372725.0,,324582.0,44030.0,324582.0,139512.0,,-135352.0,-669409.0,-124193.0,,7747.0,,,524490.0,-545216.0,5571130.0,,,,,,,,20829.0,,,,1000.0,1000.0,1000.0,113200.0,38859.0,,139512.0,,,,504192.0,,,,4000.0,-5571130.0,504192.0,,,2739.0,,,,,,,,,-280552.0,,,,,,,,,,,,,,675155.0
